Depth,300 neurons,350 neurons,400 neurons
20,1.7823419742982345,1.8407283527212162,1.7828899094684407
25,2.049785788227437,2.0560911989469797,2.0750735432492813
30,2.3396810213329666,2.3474273321247012,2.354191262227944
35,2.6358656903888766,2.6377792978151278,2.6328665194938883
