Depth,8 filters,58 filters,108 filters
2,181.72288600257352,670.0780836032018,1135.5307094115567
4,362.73079064037455,3099.454934757791,8210.384080529606
6,350.51047402483067,2772.956602741033,7034.648833232687
8,324.90919148059265,2376.844104599992,6116.848034048943
