DEPTH,NEURONS,TOTAL_PARAMS
1,6061,6115556
1,12061,12169556
1,18061,18223556
11,6061,6639006
11,12061,25172857
11,18061,55609612
21,6061,3635329
21,12061,13797123
21,18061,30488869
31,6061,2503114
31,12061,9498448
31,18061,20989747
41,6061,1909642
41,12061,7243723
41,18061,16004329
51,6061,1544499
51,12061,5855557
51,18061,12934423
61,6061,1297498
61,12061,4914952
61,18061,10854457
