n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
84,-21.0,-19.37,-15.0,1500.42,8932.414,11.969377279281616
85,-21.0,-19.32,-15.0,1515.28,8922.833,9.587809324264526
86,-21.0,-19.27,-15.0,1526.75,8802.397,10.528203010559082
87,-21.0,-19.22,-15.0,1537.3,8728.981,8.647318124771118
88,-21.0,-19.21,-15.0,1546.16,8817.369,9.970035314559937
89,-21.0,-19.18,-15.0,1562.47,8785.121,9.656615734100342
90,-21.0,-19.18,-15.0,1565.75,8973.218,11.00252652168274
91,-21.0,-19.14,-15.0,1573.94,8722.293,8.512942790985107
92,-21.0,-19.14,-15.0,1575.59,8598.706,9.091569662094116
93,-21.0,-19.08,-15.0,1588.47,8322.072,8.43615984916687
94,-21.0,-19.04,-15.0,1598.08,8260.48,11.396887302398682
95,-21.0,-19.04,-15.0,1603.13,8180.345,8.810351133346558
96,-21.0,-19.0,-15.0,1618.23,8205.011,10.793248891830444
97,-21.0,-19.0,-15.0,1618.23,8409.742,10.6767258644104
98,-21.0,-19.0,-15.0,1627.12,8512.462,10.977409601211548
99,-21.0,-19.01,-15.0,1630.33,8516.428,9.678713083267212
100,-21.0,-18.95,-15.0,1642.3,8491.899,10.826189041137695
101,-21.0,-18.97,-15.0,1643.71,8583.554,9.432428121566772
102,-21.0,-18.91,-15.0,1654.58,8794.789,11.204749345779419
103,-21.0,-18.89,-15.0,1665.55,8845.983,8.967071533203125
104,-21.0,-18.89,-15.0,1672.05,8737.787,10.312571287155151
105,-21.0,-18.82,-15.0,1686.04,9051.825,11.981802940368652
106,-21.0,-18.78,-15.0,1694.69,9008.55,10.316394090652466
107,-21.0,-18.78,-15.0,1699.18,8965.42,10.221606254577637
108,-21.0,-18.77,-15.0,1706.4,8977.681,11.128597021102905
109,-21.0,-18.74,-15.0,1711.9,9037.079,10.298625469207764
110,-21.0,-18.65,-15.0,1729.44,8970.337,10.09485411643982
111,-21.0,-18.65,-15.0,1729.44,9033.556,10.079300880432129
112,-21.0,-18.68,-15.0,1731.85,8924.073,10.119781255722046
113,-21.0,-18.63,-15.0,1743.01,9093.094,10.625283002853394
114,-21.0,-18.61,-15.0,1748.61,9077.679,10.140137910842896
115,-21.0,-18.42,-14.0,1776.35,8938.264,10.59441328048706
116,-21.0,-18.39,-14.0,1782.67,8906.392,9.995731830596924
117,-21.0,-18.36,-14.0,1784.28,8885.444,10.035049200057983
118,-21.0,-18.37,-14.0,1787.74,8891.347,11.184879779815674
119,-21.0,-18.32,-14.0,1798.02,8965.912,11.051520109176636
120,-21.0,-18.32,-14.0,1795.64,9100.752,11.454110860824585
121,-21.0,-18.26,-14.0,1812.08,9173.368,10.788259029388428
122,-21.0,-18.24,-14.0,1822.57,9163.721,10.039831399917603
123,-21.0,-18.22,-14.0,1835.25,9084.408,9.865629434585571
124,-21.0,-18.18,-14.0,1839.35,9033.986,9.618756294250488
125,-21.0,-18.17,-14.0,1839.56,9048.254,10.707411289215088
126,-21.0,-18.18,-14.0,1840.76,9197.847,11.523972749710083
127,-21.0,-18.13,-14.0,1845.07,9226.52,10.355146169662476
128,-21.0,-18.07,-14.0,1855.14,9121.918,10.068434715270996
129,-21.0,-17.99,-14.0,1863.09,9038.275,10.19369626045227
130,-21.0,-17.97,-14.0,1865.5,8848.513,9.535200595855713
131,-21.0,-17.89,-14.0,1873.56,8706.79,9.397501230239868
132,-21.0,-17.89,-14.0,1871.99,8661.561,9.582831621170044
133,-21.0,-17.93,-14.0,1876.24,8601.352,9.28087830543518
134,-21.0,-17.93,-14.0,1878.48,8662.357,10.268784046173096
135,-21.0,-17.94,-14.0,1883.71,8577.269,9.831957340240479
136,-21.0,-17.88,-14.0,1891.39,8430.671,9.99759840965271
137,-21.0,-17.87,-14.0,1890.92,8578.439,11.803013801574707
138,-21.0,-17.87,-14.0,1890.92,8700.372,11.328784704208374
139,-21.0,-17.81,-14.0,1900.94,8874.398,11.943284749984741
140,-21.0,-17.72,-14.0,1917.58,9011.795,10.944406032562256
