Num iters,Rwd avg
1,-21.0
51,-19.832
101,-17.276
151,-15.448
201,-13.652
251,-12.252
301,-11.624
351,-11.364
401,-11.508
451,-11.456
501,-11.972
551,-11.792
601,-11.42
651,-11.208
701,-11.112
751,-11.148
801,-11.188
851,-10.58
901,-10.688
951,-10.736
1001,-13.068
1051,-12.496
1101,-11.488
1151,-10.772
1201,-10.548
1251,-10.228
1301,-10.072
1351,-10.392
1401,-10.588
1451,-10.212
1501,-10.26
1551,-10.268
1601,-9.94
1651,-9.612
1701,-9.768
1751,-9.204
1801,-8.88
1851,-9.324
1901,-8.868
1951,-8.756
2001,-8.452
2051,-7.492
2101,-8.936
2151,-9.728
2201,-9.123274592337138
2251,-7.8337544578720415
2301,-8.496997356595537
2351,-7.8130278213665605
2401,-7.513303460773114
2451,-8.148703407512677
2501,-7.597878044329756
2551,-8.958911189939514
2601,-7.921893594568232
2651,-6.858683645302421
2701,-8.463957032372235
2751,-8.444733601457648
2801,-8.83600790037909
2851,-8.42664208275909
2901,-9.404223602160062
2951,-7.537217821087558
3001,-7.035060945459668
3051,-7.120321824444397
3101,-8.163095374547678
3151,-6.981771115350131
3201,-8.811078246290831
3251,-7.481900088444094
3301,-8.142020700925368
3351,-7.845253907184388
3401,-6.735003286638445
3451,-7.571862761840221
3501,-7.353312232465331
3551,-7.846509286882908
3601,-8.27482503251371
3651,-7.340732884856667
3701,-7.89730010812549
3751,-8.471501097823658
3801,-8.048192999868357
3851,-8.334023008146378
3901,-7.361086216930676
3951,-7.308720055875384
4001,-7.455338746790816
4051,-8.214089592487603
4101,-7.356418715548901
4151,-7.988758418440934
4201,-6.551745541950792
4251,-8.0574621593636
4301,-8.270737974652954
4351,-7.36738726217545
4401,-7.168734738109327
4451,-7.229927251679858
4501,-7.746316102423824
4551,-8.534953592691622
4601,-8.645592314155047
4651,-7.650902178850807
4701,-7.100655738194856
4751,-7.7237006756116084
4801,-9.281352891989773
4851,-5.359812749807219
4901,-9.069349374245927
4951,-9.21411712543488
5051,-8.995303058189133
5151,-9.289538403016488
5201,-8.818251167020069
5251,-8.704617772364012
5301,-9.349091339771833
5351,-6.106330027472247
5401,-8.087457115377065
5451,-6.180595237709411
5501,-7.084669047864601
5551,-8.852245575381165
5601,-8.919622442415267
5651,-8.12285309146542
5701,-8.621921049241688
5751,-8.940440182449972
5801,-9.44142356227959
5851,-7.341969952343591
5901,-8.125093621295013
5952,-6.850536685910153
6002,-9.466585107581354
6052,-6.930987268046268
6102,-6.989530540217296
6152,-8.814831339584261
6202,-6.915127164314919
6252,-7.455604830869925
6302,-7.15361098031043
6352,-7.454514686208586
6402,-9.272792733826563
6452,-7.4763529546473455
6502,-7.3303487947413855
6552,-7.6956929911283085
6602,-7.2618941953629585
6652,-7.785972754648543
6702,-9.692834690813818
6752,-9.45897372536443
6802,-6.137207296137901
6852,-6.651703889626483
6902,-8.112717497669571
6952,-8.222220330187753
7002,-7.96286653417516
7052,-7.2114442369078215
7102,-7.832267578404307
7152,-6.480815598234352
7202,-8.804930745596703
7252,-6.773656142155891
7302,-7.886349738154859
7352,-6.297789059670082
7402,-7.353335668820224
7452,-7.187824150635782
7502,-7.517636394052923
7552,-7.941530443145092
7602,-8.051977890437666
7652,-6.455658539924663
7702,-8.282170770542871
7752,-7.345483314227335
7802,-7.537018602881831
7852,-7.376285939145919
7902,-6.9059820796249145
7952,-7.613237004694661
8002,-7.178902692093673
8052,-7.599161555341346
8102,-6.372119129165423
8152,-8.49633417375149
8202,-6.566443767357688
8252,-7.435209884647668
8302,-5.645288064454865
8352,-7.24955026853099
8402,-6.684379300984407
8452,-6.480839362915116
8502,-6.3444757333423345
8552,-7.156658024233701
8602,-7.560256565815804
8652,-7.854316178843406
8702,-7.2473357729699295
8752,-7.385898078594283
8802,-6.5742230789433975
8852,-5.373687035963295
8902,-7.015333383651047
8952,-7.378991846492202
9002,-7.175354785174168
9052,-5.845588908685813
9102,-5.939575343015727
9152,-6.934505764258826
9202,-5.416931098083073
9252,-7.504514710673462
9302,-7.637643534338518
9352,-6.916578447866469
9402,-6.518333904311351
9452,-5.864708117879516
9502,-7.711808713524332
9552,-6.275117039348939
9602,-7.13823437965627
9652,-7.37703369170086
9702,-8.414625627533947
9752,-6.491637669680878
9802,-5.64756708863132
9852,-6.103099250817077
9902,-7.171406283047699
9952,-5.6567084658268
10002,-6.76187780664813
10052,-7.135794772143177
10102,-7.655411015307497
10152,-6.775725569702687
10202,-7.528356128155398
10252,-7.004763173962366
10302,-7.393364414654199
10352,-7.448629882817537
10402,-7.122037186592207
10452,-7.177981085884629
10502,-6.124894609922745
10552,-7.1317141693280375
10602,-5.364035182900622
10652,-7.37591669465107
10702,-8.002064592333456
10752,-7.182651933977846
10802,-8.622210648327691
10852,-7.587566387492586
10902,-6.6913046149800595
10952,-6.3187221095097055
11002,-6.884060911653923
11052,-6.587544898731734
11102,-5.278767544940376
11152,-6.639496488575157
11202,-6.344462337462942
11252,-7.2360499654170685
11302,-6.230959397420865
11352,-6.207852602498527
