Num iters,weights concentration
1,0.113679463446775
51,0.877908550851082
101,1.592945761539659
151,3.4187333518956944
201,1.9588761460007245
251,4.150071139486393
301,7.897918733707112
351,6.916960257989317
401,8.461622189006029
451,9.74081660875975
501,10.980682125787247
551,11.109093675269824
601,12.46344930449704
651,12.587103433979184
701,12.67253339009928
751,12.659307548705144
801,13.641022184523769
851,13.723433466056945
901,13.81126291475696
951,13.746997193983346
1001,13.772228443650577
1051,13.639315636089384
1101,13.648909227577943
1151,13.558461443528314
1201,13.40306174693193
1251,13.4037214855712
1301,13.231800868281471
1351,12.62386427765708
1401,12.990092770350856
1451,11.666013209555835
1501,10.684878195740009
1551,10.63980387874732
1601,10.65227159165479
1651,10.684279333154645
1701,10.698156495426106
1751,10.899768824283875
1801,11.159849946342593
1851,11.212119735056487
1901,11.271428215899706
1951,11.218276426676148
2001,11.251985601979251
2051,11.260924494033395
2101,11.050199214615379
2151,10.830802155796132
2201,10.786558983504577
2251,10.991227039017202
2301,10.936444992680316
2351,10.84220056258132
2401,11.198722247281868
2451,11.243176774366644
2501,11.296445053582906
2551,11.092747891129841
2601,11.033976734101145
2651,10.9937886533389
2701,10.970769121423778
2751,11.026722150621806
2801,11.122456679353769
2851,10.601232179727928
2901,10.615003953741417
2951,10.572155802687882
3001,10.65213767802389
3051,10.890725626836842
3101,10.719885836203146
3151,10.691890226787091
3201,10.650118472924636
3251,10.86333447662034
3301,10.991219392846677
3351,11.149961983350673
3401,11.467049715562977
3451,11.421965962317532
3501,11.408259451958526
3551,11.391872250800084
3601,11.038524034397648
3651,10.750463110871712
3701,10.675666377014128
3751,10.899705471522011
3801,10.700796155817708
3851,10.96307140850062
3901,11.06508448762306
3951,11.012574602814393
4001,11.10330536641339
4051,11.251186593991216
4101,10.792531979098229
4151,11.002636533060791
4201,11.102653764609277
4251,11.017985786235029
4301,10.897247011224374
4351,10.984917842116175
4401,10.853739564741921
4451,10.920373902276022
4501,10.892858486102261
4551,10.962464047644334
4601,11.00685435392931
4651,11.090089558899537
4701,11.0462882530918
4751,11.103670058964968
4801,10.999453209580206
4851,11.279046397598417
4901,11.374070780088097
4951,11.257157361589217
5001,11.131319225484686
5051,11.363292549839036
5101,11.25131784470484
5151,11.250745269376782
5201,11.140430750012664
5251,11.389560034118677
5301,10.715160680187175
