Num iters,Mean rel error
1,0.013325866774399765
51,0.02533536956461612
101,0.03233330465964973
151,0.03798845080146566
201,0.048916314488835634
251,0.06114899270525202
301,0.06114683312997222
351,0.06666750278705731
401,0.06506569974245504
451,0.06232683137860148
501,0.07574613436637446
551,0.07931177521208301
601,0.0849078649853356
651,0.0886168998301495
701,0.09061421173689888
751,0.0923154168107547
801,0.09512915435582397
851,0.09368080560360105
901,0.09175391434803606
951,0.09247703501428477
1001,0.0977313283185475
1051,0.10659752230467273
1101,0.1125521093110554
1151,0.123441853960976
1201,0.1156695720956661
1251,0.11551658995295874
1301,0.1018023696293589
1351,0.11465716269426048
1401,0.10770489754213483
1451,0.1115532587643247
1501,0.11968302114550023
1551,0.09642829492059537
1601,0.08406026808461173
1651,0.08160898554543964
1701,0.08617775425966828
1751,0.07902985056776087
1801,0.07386774287316947
1851,0.0728181096958928
1901,0.07211605174539145
1951,0.07127127375942654
2001,0.06885770884787197
2051,0.06454782228046097
2101,0.06504516219270881
2151,0.06619707367591328
2201,0.06144444987748283
2251,0.0643068417680799
2301,0.0607770864223363
2351,0.05883021261313698
2401,0.05711605831782799
2451,0.0552906568829203
2501,0.05184564574800897
2551,0.05365119930240325
2601,0.04836581387959886
2651,0.05171390261313645
2701,0.053797117161843925
2751,0.050460158051981126
2801,0.0567424326278735
2851,0.04889317689174786
2901,0.051510487445374016
2951,0.04924502091202885
3001,0.053117312514712106
3051,0.05415007267915644
3101,0.039711092776071745
3151,0.0635227539336076
3201,0.05375013141428353
3251,0.051145827766362346
3301,0.057129195638699455
3351,0.045818058282334824
3401,0.04925470465059625
3451,0.04852515426999889
3501,0.04833861430383986
3551,0.054462655378528874
3601,0.03962016962012276
3651,0.045943410015531115
3701,0.06125538642883766
3751,0.05480219787929673
3801,0.049949640730046665
3851,0.05212165673589334
3901,0.06873672487186267
3951,0.04382575104830321
4001,0.047138685137941505
4051,0.0589951371171861
4101,0.03596425133192679
4151,0.03817362623580266
4201,0.048983091579796745
4251,0.06171781691387296
4301,0.040962717034551316
4351,0.05962646747031249
4401,0.04429394345325418
4451,0.037150504257029385
4501,0.042417246579006314
4551,0.051258601243142035
4601,0.03788791684318567
4651,0.056558691776555495
4701,0.03793626883391407
4751,0.05707589934001444
4801,0.063958635470015
4851,0.03788381580425194
4901,0.03326375799963716
