Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
100,379699200,0.1162109375,0.0,3.796740397773646
120,544112640,0.13818359375,0.0,3.6212097801215894
140,738017280,0.240234375,0.0,4.682897326738776
160,961413120,0.273193359375,0.0,5.978546479159409
180,1214300160,0.30615234375,0.0,7.0070535046150075
200,1496678400,0.4521484375,0.0,7.0274793575550465
220,1808547840,0.49609375,0.0,10.089687364468643
240,2149908480,0.5400390625,0.0,9.549202545228097
260,2520760320,0.72998046875,0.0,9.203396654138723
280,2921103360,0.784912109375,0.0,10.723683509968213
300,3350937600,0.83984375,0.0,11.392871786311671
320,3810263040,0.894775390625,0.0,12.719384627183667
340,4299079680,1.14,0.0,14.732050215331343
360,4817387520,1.21,0.0,16.15651286029079
380,5365186560,1.27,0.0,16.58334001037362
400,5942476800,1.56,0.0,16.701581728485255
420,6549258240,1.64,0.0,18.994033986887146
440,7185530880,1.71,0.0,18.996341951989436
460,7851294720,2.05,0.0,21.9019032666111
480,8546549760,2.13,0.0,21.51447228595122
500,9271296000,2.22,0.0,22.738927524551766
520,10025533440,2.6,0.0,25.07315768214228
540,10809262080,2.7,0.0,24.31742190285488
560,11622481920,2.8,0.0,26.825197413936632
580,12465192960,3.22,0.0,28.064481611060607
600,13337395200,3.33,0.0,29.117279551322902
620,14239088640,3.44,0.0,30.234048860399305
640,15170273280,3.55,0.0,31.730895972455496
660,16130949120,4.02,0.0,35.52943664426739
680,17121116160,4.14,0.0,36.40422930761993
700,18140774400,4.26,0.0,36.08303510018059
720,19189923840,4.78,0.0,40.48813076119299
740,20268564480,4.92,0.0,41.488849593828
