Depth,61 neurons,1061 neurons,2061 neurons,3061 neurons,4061 neurons,5061 neurons,6061 neurons
1,0.06652786631626312,0.10515277443284338,0.15586579331394398,0.20668624354658102,0.2554580851486235,0.29856787119625194,0.5381818122296321
11,0.049991337958760936,0.06960588036989322,0.09588116422446087,0.1537127895374792,0.21280352769400737,0.36252361270740174,0.7912074780148087
21,0.05232086969595967,0.06489121975998084,0.07527992787836778,0.1052972681895651,0.1556141833501934,0.202074543469482,0.29354636566807524
31,0.0460077655699217,0.05745116828216447,0.07311717578859041,0.0916325929339486,0.13209574601866983,0.17527770721400626,0.19838736213818944
41,0.047266114070409475,0.0637427790824211,0.07484743672639432,0.08698131635107777,0.13673448737597826,0.13709187065486353,0.17471307644037284
51,0.04689076990641729,0.052142410887160685,0.06712684313757251,0.07937236858362501,0.09946479001129517,0.13691738172613008,0.16745109101663333
61,0.04352112488839963,0.05415919227431519,0.06994879992697577,0.08086651808234176,0.10235164540283608,0.1337064401895711,0.14237002610708727
