Num iters,Mean rel error,Diff actions
1,0.006222346606117208,0.0
51,0.021516649995557965,1.16
101,0.03129583285611588,2.0500000000000003
151,0.03172929656828055,2.0500000000000003
201,0.040211741808848456,2.06
251,0.046250459681730714,1.68
301,0.04650902060102671,1.72
351,0.06113540671458468,2.0500000000000003
401,0.048802865708386524,2.17
451,0.04817519051488489,2.26
501,0.051273129968252035,2.48
551,0.05999832831742242,2.26
601,0.07018694927827455,2.11
651,0.07105115117146633,2.08
701,0.06712711914409883,2.11
751,0.0640096114140004,2.59
801,0.06192401451636106,2.42
851,0.07197796357930637,2.75
901,0.05793753060759045,2.58
951,0.058171532386401666,2.54
1001,0.05829984826620203,2.56
1051,0.06996593179944903,2.21
1101,0.0676313415364828,2.78
1151,0.07577056532162242,2.86
1201,0.07353002811940387,2.8400000000000003
1251,0.06538732666186989,2.85
1301,0.07028612183630467,3.11
1351,0.07246394725427963,3.0700000000000003
1401,0.08097817246764898,3.1399999999999997
1451,0.09537125125769526,3.27
1501,0.10395899140941911,3.0
1551,0.08785241792225279,3.0300000000000002
1601,0.08448526570121757,2.52
1651,0.0939096990156453,2.94
1701,0.0820406270026695,2.7
1751,0.09517287298883312,3.0700000000000003
1801,0.08301738149151205,2.87
1851,0.10160403036335483,3.01
1901,0.10811502267746255,2.76
1951,0.10915842532170937,3.19
2001,0.10252721177442,3.0700000000000003
2051,0.09446248509613797,3.27
2101,0.1140670857584104,3.7699999999999996
2151,0.10198833057172597,3.61
2201,0.1146287538845092,3.4000000000000004
2251,0.11811472199494019,3.2300000000000004
2301,0.11130817739060149,3.2300000000000004
2351,0.14896894939048216,4.03
2401,0.14334933750317433,4.32
2451,0.12617730794535018,4.16
2501,0.14677911436408758,4.26
2551,0.12147585153332911,3.58
2601,0.11575274919043295,4.08
2651,0.10246199896312319,3.1399999999999997
2701,0.11825305252457038,3.18
2751,0.11101772665064782,3.36
2801,0.11202342611523346,3.71
2851,0.10964328849129379,3.95
2901,0.09887663042331114,3.83
2951,0.12742349804714323,4.14
3001,0.1139177344529191,3.73
3051,0.11035536591731943,4.31
3101,0.10472608145955019,3.7900000000000005
3151,0.11662571198800578,4.06
3201,0.1270973051887937,4.22
3251,0.14685126711879856,5.3100000000000005
3301,0.14135679998714476,4.99
3351,0.12360580625375733,4.35
3401,0.12828122065039352,4.8
3451,0.11799635803662241,4.17
3501,0.1284658848475665,4.72
3551,0.12702508275993168,5.26
3601,0.12999917311905884,4.32
3651,0.1125751953644678,4.569999999999999
3701,0.11120824487810023,3.84
3751,0.12606185042746365,5.06
3801,0.14357371545424685,5.8999999999999995
3851,0.12806793145299888,5.11
3901,0.12689292352776974,5.4
3951,0.11183084391942248,4.24
4001,0.11048292584856972,4.44
4051,0.11097158907884731,4.15
4101,0.10985079725342803,4.19
4151,0.12265743367052637,5.17
4201,0.12816045794147066,6.12
4251,0.10735586913912556,4.55
4301,0.12073319522449746,6.16
4351,0.1269422015634831,5.220000000000001
4401,0.1241497522813268,6.32
4451,0.11798779570753686,4.44
4501,0.1067247057585977,4.72
4551,0.10832504676850513,4.99
4601,0.12272631827024744,5.55
4651,0.12155769959115423,5.489999999999999
4701,0.12005226180967875,6.4
4751,0.11122836292702705,5.42
4801,0.13269797687404788,5.6000000000000005
4851,0.11298419116083533,5.37
4901,0.11796234203004279,5.63
4951,0.1138528932240326,5.41
5001,0.12306279779307079,5.7299999999999995
5051,0.1104070354051888,5.19
5101,0.11379581186925061,5.4399999999999995
5151,0.10153268255447037,4.58
5201,0.12558744282061234,4.569999999999999
5251,0.1070603709817864,5.0200000000000005
5301,0.10129658585959114,4.54
5351,0.10736967973709106,5.510000000000001
5401,0.11693324886239134,6.260000000000001
5451,0.09595489109684713,5.0
5501,0.10193732959823683,5.28
5551,0.11550445001549088,4.92
5601,0.10014007846848108,5.0200000000000005
5651,0.1000929329238832,4.93
5701,0.11114535638149828,6.38
5751,0.10457898929715156,5.01
5801,0.11427210177769885,6.569999999999999
5851,0.11091231795479543,5.99
5901,0.10838440716564655,6.08
5951,0.12460966552312021,7.449999999999999
6001,0.11790708907619118,6.8500000000000005
6051,0.11395248180632479,6.77
6101,0.13196057557202875,9.32
6151,0.12094587813667022,8.03
6201,0.11299508202159778,6.45
6251,0.11760448948368431,7.049999999999999
6301,0.11874377443050034,6.510000000000001
6351,0.10090780101683922,5.5
6401,0.11303770363689401,5.609999999999999
6451,0.10454375350740739,5.4
6501,0.11384721335535869,5.1
6551,0.10727772512312512,5.050000000000001
6601,0.11686965440427885,5.9799999999999995
6651,0.10161760020093061,6.36
6701,0.10267217150134966,6.99
6751,0.1079830909548793,6.510000000000001
6801,0.10137360307876953,6.4799999999999995
6851,0.1109259672424756,7.630000000000001
6901,0.10804672763790003,8.35
6951,0.1005334557528142,7.31
7001,0.10230905446689576,6.59
