Batch,Mean time cpu 32b 2 threads
50,252.52670794725418
70,354.6859831549227
90,463.3791973400447
110,579.9899288556642
130,683.0655243247747
150,775.7538703994619
170,884.1280786631008
190,1033.4093843897183
210,1093.6396630066965
230,1228.992559791853
250,1293.9750466288792
270,1429.4163698020081
290,1540.233379126423
