Batch,Mean time cpu 32b 4 threads
50,15.164680313318968
70,21.045747006105053
90,27.0159010671907
110,32.78974997293618
130,38.56783111890157
150,44.68219059829911
170,50.537831512176325
190,56.224855697817276
210,61.958172255092194
230,67.49892726333604
250,73.78180764822497
270,79.57716844975948
290,85.2170746980442
