Batch,Mean time cpu 32b 16 threads
50,56.9046573272269
70,78.61344619212966
90,102.412172323583
110,125.2454603581052
130,147.05635117072808
150,169.42573882835475
170,192.5613124315676
190,215.0889308387904
210,237.57620185221495
230,260.10813787089364
250,282.30382276600915
270,306.3405428179785
290,328.39313688638964
