Batch,Mean time cpu 32b 1 threads
50,57.60451571808921
70,80.09173860773444
90,103.48527909566958
110,126.97912493927612
130,149.05640544990698
150,171.14313769464692
170,195.5823895211021
190,219.7880767699745
210,241.00518568108478
230,262.596336659044
250,287.84761738239064
270,312.34478055396016
290,333.03812109968726
