Batch,Mean time 2 tpus 8b
50,14.430371186646976
70,19.96824608527516
90,27.069433788327796
110,33.500610115496734
130,39.1270199692563
150,44.71245569814192
170,50.177219078729024
190,56.156969825296024
210,61.980648186842075
230,68.15034486843567
250,74.49477646303804
270,81.35181194857547
290,84.79813371147765
