Batch,Mean time 8 tpus 8b
50,4.171073681821949
70,5.456701607296341
90,7.210414954706242
110,9.002813015525279
130,10.536292616866136
150,12.144900980944696
170,13.940594943338319
190,15.40296612993667
210,17.142119547842366
230,18.646896596213704
250,20.45382762719926
270,21.894069903187063
290,23.715633261752757
