,Num filters,# MACs,Inference time
0,32,160432128,2.9863379895687103
1,42,272498688,9.034208953380585
2,52,414056448,10.78217662870884
3,62,585105408,12.530144304037094
4,72,785645568,16.074564307928085
5,82,1015676928,19.61898431181908
6,92,1275199488,23.98590743541718
7,102,1564213248,28.352830559015278
8,112,1882718208,33.4342708811164
9,122,2230714368,38.51571120321751
10,132,2608201728,44.44102197885513
11,142,3015180288,50.36633275449276
12,152,3451650048,56.982885114848614
13,162,3917611008,63.59943747520447
14,172,4413063168,71.16596307605505
15,182,4938006528,78.73248867690563
16,192,5492441088,86.99550479650497
17,202,6076366848,95.25852091610432
18,212,6689783808,104.27268035709858
19,222,7332691968,113.28683979809284
20,232,8005091328,123.77157807350159
21,242,8706981888,134.25631634891033
22,252,9438363648,145.15537675470114
23,262,10199236608,156.05443716049194
24,272,10989600768,168.8369559124112
25,282,11809456128,181.61947466433048
26,292,12658802688,193.14212445169687
27,302,13537640448,204.6647742390633
28,312,14445969408,216.50074422359467
29,322,15383789568,228.33671420812607
30,332,16351100928,245.5553924664855
31,342,17347903488,262.77407072484493
32,352,18374197248,277.99107413738966
33,362,19429982208,293.2080775499344
34,372,20515258368,310.5842499062419
35,382,21630025728,327.9604222625494
36,392,22774284288,345.0403157621622
37,402,23948034048,362.120209261775
38,412,25151275008,380.5145490914583
39,422,26384007168,398.9088889211416
40,432,27646230528,416.8521063402295
41,442,28937945088,434.7953237593174
42,452,30259150848,454.09545209258795
43,462,31609847808,473.3955804258585
44,472,32990035968,492.9629024118185
45,482,34399715328,512.5302243977785
46,492,35838885888,535.3132896125317
47,502,37307547648,558.0963548272848
48,512,38805700608,579.1320083662868
49,522,40333344768,600.1676619052887
50,532,41890480128,626.341694034636
51,542,43477106688,652.5157261639833
52,552,45093224448,675.8412783965468
53,562,46738833408,699.1668306291103
54,572,48413933568,721.7643335461617
55,582,50118524928,744.361836463213
56,592,51852607488,770.8008233457804
57,602,53616181248,797.2398102283478
58,612,55409246208,825.5792194977403
59,622,57231802368,853.9186287671328
60,632,59083849728,880.4872799664736
61,642,60965388288,907.0559311658144
62,652,62876418048,931.5001163631678
63,662,64816939008,955.9443015605212
64,672,66786951168,983.8630715385079
65,682,68786454528,1011.7818415164948
66,692,70815449088,1040.6348314136267
67,702,72873934848,1069.4878213107586
