Num filters,# MACs,Inference time
32,160432128,2.9557906091213226
52,414056448,6.604631431400776
72,785645568,11.841332539916039
92,1275199488,18.574056215584278
112,1882718208,26.984931901097298
132,2608201728,36.620019003748894
152,3451650048,48.63543435931206
172,4413063168,61.215050518512726
192,5492441088,75.75276866555214
212,6689783808,91.78542625159025
232,8005091328,110.69625802338123
252,9438363648,129.13145497441292
272,10989600768,151.03673934936523
292,12658802688,173.12392499297857
312,14445969408,196.87337055802345
332,16351100928,224.56552367657423
352,18374197248,251.46836042404175
372,20515258368,288.7039603665471
392,22774284288,314.43749461323023
412,25151275008,354.3518390506506
432,27646230528,389.35018237680197
452,30259150848,426.8871285021305
472,32990035968,465.08367266505957
492,35838885888,504.45349887013435
512,38805700608,546.7092469334602
532,41890480128,590.4309786856174
552,45093224448,626.5157945454121
572,48413933568,683.8270360603929
592,51852607488,730.2407510578632
612,55409246208,779.7078499570489
632,59083849728,832.6694332063198
652,62876418048,884.651348926127
672,66786951168,924.3128849193454
692,70815449088,996.5012259781361
