Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
32,160432128,"[0.002685546875, 0.01806640625, 0.01806640625, 0.0361328125]","[0.0, 0.0, 0.0, 0.0]",0.007735518738627434
42,272498688,"[0.002685546875, 0.024658203125, 0.024658203125, 0.04931640625]","[0.0, 0.0, 0.0, 0.0]",0.008772779256105423
52,414056448,"[0.002685546875, 0.029052734375, 0.029052734375, 0.05810546875]","[0.0, 0.0, 0.0, 0.0]",0.05868540145456791
62,585105408,"[0.002685546875, 0.03564453125, 0.03564453125, 0.0712890625]","[0.0, 0.0, 0.0, 0.0]",0.008639860898256302
72,785645568,"[0.00537109375, 0.080078125, 0.080078125, 0.16015625]","[0.0, 0.0, 0.0, 0.0]",0.00890339259058237
82,1015676928,"[0.00537109375, 0.09326171875, 0.09326171875, 0.1865234375]","[0.0, 0.0, 0.0, 0.0]",0.008931690827012062
92,1275199488,"[0.00537109375, 0.10205078125, 0.10205078125, 0.2041015625]","[0.0, 0.0, 0.0, 0.0]",0.007866504602134228
102,1564213248,"[0.00537109375, 0.115234375, 0.115234375, 0.23046875]","[0.0, 0.0, 0.0, 0.0]",0.05804454907774925
112,1882718208,"[0.00537109375, 0.1240234375, 0.1240234375, 0.248046875]","[0.0, 0.0, 0.0, 0.0]",0.009623388759791851
122,2230714368,"[0.00537109375, 0.13720703125, 0.13720703125, 0.2744140625]","[0.0, 0.0, 0.0, 0.0]",0.008279792964458466
132,2608201728,"[0.008056640625, 0.218994140625, 0.218994140625, 0.43798828125]","[0.0, 0.0, 0.0, 0.0]",0.009709233418107033
142,3015180288,"[0.008056640625, 0.23876953125, 0.23876953125, 0.4775390625]","[0.0, 0.0, 0.0, 0.0]",0.011353222653269768
152,3451650048,"[0.008056640625, 0.251953125, 0.251953125, 0.50390625]","[0.0, 0.0, 0.0, 0.0]",0.00875141005963087
162,3917611008,"[0.008056640625, 0.271728515625, 0.271728515625, 0.54345703125]","[0.0, 0.0, 0.0, 0.0]",0.012124991044402122
172,4413063168,"[0.008056640625, 0.284912109375, 0.284912109375, 0.56982421875]","[0.0, 0.0, 0.0, 0.0]",0.013435469008982182
182,4938006528,"[0.008056640625, 0.3046875, 0.3046875, 0.609375]","[0.0, 0.0, 0.0, 0.0]",0.014882287941873074
192,5492441088,"[0.008056640625, 0.31787109375, 0.31787109375, 0.6357421875]","[0.0, 0.0, 0.0, 0.0]",0.014580227434635162
202,6076366848,"[0.0107421875, 0.4501953125, 0.4501953125, 0.900390625]","[0.0, 0.0, 0.0, 0.0]",0.01594378612935543
212,6689783808,"[0.0107421875, 0.4677734375, 0.4677734375, 0.935546875]","[0.0, 0.0, 0.0, 0.0]",0.00947481021285057
