Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
32,160432128,"[0.020751953125, 0.05419921875]","[0.0, 0.0]",2.5897374004125595
42,272498688,"[0.052001953125, 0.04931640625]","[0.0, 0.0]",3.649434894323349
52,414056448,"[0.08984375, 0.029052734375]","[0.0, 0.0]",4.628687216900289
62,585105408,"[0.109619140625, 0.03564453125]","[0.0, 0.0]",5.624521081335843
72,785645568,"[0.24560546875, 0.080078125]","[0.0, 0.0]",6.59508440643549
82,1015676928,"[0.28515625, 0.09326171875]","[0.0, 0.0]",7.485150792635977
92,1275199488,"[0.3115234375, 0.10205078125]","[0.0, 0.0]",7.730361572466791
102,1564213248,"[0.35107421875, 0.115234375]","[0.0, 0.0]",8.29219211358577
112,1882718208,"[0.37744140625, 0.1240234375]","[0.0, 0.0]",8.755408190190792
122,2230714368,"[0.4169921875, 0.13720703125]","[0.0, 0.0]",11.050105215981603
132,2608201728,"[0.6650390625, 0.218994140625]","[0.0, 0.0]",12.09785407409072
142,3015180288,"[0.724365234375, 0.23876953125]","[0.0, 0.0]",12.659532073885202
152,3451650048,"[0.763916015625, 0.251953125]","[0.0, 0.0]",13.441108861006796
162,3917611008,"[0.8232421875, 0.271728515625]","[0.0, 0.0]",14.66661908198148
172,4413063168,"[0.86279296875, 0.284912109375]","[0.0, 0.0]",15.401666075922549
182,4938006528,"[0.922119140625, 0.3046875]","[0.0, 0.0]",15.84000513423234
192,5492441088,"[0.961669921875, 0.31787109375]","[0.0, 0.0]",16.986449738033116
202,6076366848,"[1.36, 0.4501953125]","[0.0, 0.0]",18.130239327438176
212,6689783808,"[1.41, 0.4677734375]","[0.0, 0.0]",18.9828573865816
222,7332691968,"[1.49, 0.494140625]","[0.0, 0.0]",20.12656187172979
232,8005091328,"[1.55, 0.51171875]","[0.0, 0.0]",20.7610046537593
242,8706981888,"[1.62, 0.5380859375]","[0.0, 0.0]",12.089996305294335
252,9438363648,"[1.68, 0.5556640625]","[0.0, 0.0]",22.542831590399146
262,10199236608,"[2.2, 0.7275390625]","[0.0, 0.0]",24.228864847682416
272,10989600768,"[2.26, 0.74951171875]","[0.0, 0.0]",24.92297177668661
282,11809456128,"[2.36, 0.782470703125]","[0.0, 0.0]",25.961545994505286
292,12658802688,"[2.43, 0.804443359375]","[0.0, 0.0]",26.712809819728136
302,13537640448,"[2.53, 0.83740234375]","[0.0, 0.0]",27.523853974416852
312,14445969408,"[2.59, 0.859375]","[0.0, 0.0]",28.623746684752405
322,15383789568,"[3.23, 1.07]","[0.0, 0.0]",30.414865580387414
332,16351100928,"[3.31, 1.1]","[0.0, 0.0]",31.078867544420063
342,17347903488,"[3.43, 1.14]","[0.0, 0.0]",32.83508754335344
352,18374197248,"[3.51, 1.16]","[0.0, 0.0]",33.00926374737173
362,19429982208,"[3.62, 1.2]","[0.0, 0.0]",35.10877901688218
372,20515258368,"[3.7, 1.23]","[0.0, 0.0]",35.97442111000419
382,21630025728,"[3.82, 1.27]","[0.0, 0.0]",37.15128617826849
392,22774284288,"[4.55, 1.51]","[0.0, 0.0]",38.4703574469313
402,23948034048,"[4.69, 1.56]","[0.0, 0.0]",39.70842268783599
412,25151275008,"[4.78, 1.59]","[0.0, 0.0]",40.60832669958472
422,26384007168,"[4.92, 1.63]","[0.0, 0.0]",41.800398961640894
432,27646230528,"[5.01, 1.66]","[0.0, 0.0]",42.5332935154438
442,28937945088,"[5.15, 1.71]","[0.0, 0.0]",43.73467130120844
452,30259150848,"[5.99, 1.99]","[0.0, 0.0]",45.278200302273035
462,31609847808,"[6.15, 2.04]","[0.0, 0.0]",46.31770654115826
472,32990035968,"[6.26, 2.08]","[0.0, 0.0]",47.21052760258317
482,34399715328,"[6.41, 2.13]","[0.0, 0.0]",48.37465934921056
492,35838885888,"[6.52, 2.17]","[0.0, 0.0]",49.00081180036068
502,37307547648,"[6.68, 2.22]","[0.0, 0.0]",50.35517331212759
512,38805700608,"[6.78, 2.25]","[0.0, 0.0]",51.23991462402046
522,40333344768,"[5.21, 5.19]","[0.0, 0.0]",61.582325380295515
532,41890480128,"[5.29, 5.27]","[0.0, 0.0]",62.51321718096733
542,43477106688,"[5.41, 5.39]","[0.0, 0.0]",64.01606970932335
552,45093224448,"[5.49, 5.47]","[0.0, 0.0]",65.1323374779895
562,46738833408,"[5.61, 5.59]","[0.0, 0.0]",66.42983787693083
572,48413933568,"[5.69, 5.66]","[0.0, 0.0]",67.44598329532892
582,50118524928,"[6.45, 3.21]","[3.21, 0.0]",82.55961854942143
592,51852607488,"[6.54, 3.26]","[3.26, 0.0]",83.76789764035493
