Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
452,30259150848,"[0.021484375, 1.99, 1.99, 3.98]","[0.0, 0.0, 0.0, 0.0]",98.59099797904491
462,31609847808,"[0.021484375, 2.04, 2.04, 4.09]","[0.0, 0.0, 0.0, 0.0]",112.04254999756813
472,32990035968,"[0.021484375, 2.08, 2.08, 4.16]","[0.0, 0.0, 0.0, 0.0]",115.83273764699697
482,34399715328,"[0.021484375, 2.13, 2.13, 4.26]","[0.0, 0.0, 0.0, 0.0]",108.10261918231845
492,35838885888,"[0.021484375, 2.17, 2.17, 4.33]","[0.0, 0.0, 0.0, 0.0]",108.98030921816826
502,37307547648,"[0.021484375, 2.22, 2.22, 4.44]","[0.0, 0.0, 0.0, 0.0]",124.27138164639473
512,38805700608,"[0.021484375, 2.25, 2.25, 4.51]","[0.0, 0.0, 0.0, 0.0]",127.25003622472286
