Batch size,Inference time
1,224.6246626600623
4,154.65748531278223
7,154.40425429759281
10,153.46441995352507
13,150.05524481575077
16,150.36959093413316
19,150.9993084902434
22,150.63601711087608
25,150.1833526045084
28,150.22984007373452
31,150.0013616657065
34,149.989059441449
37,149.94263109071431
