,Num filters,# MACs,Inference time
0,32,160432128,2.032142132520676
1,42,272498688,4.550263285636902
2,52,414056448,6.161725148558617
3,62,585105408,7.773187011480331
4,72,785645568,9.849285706877708
5,82,1015676928,11.925384402275084
6,92,1275199488,14.505136758089066
7,102,1564213248,17.084889113903046
8,112,1882718208,18.689129501581192
9,122,2230714368,20.29336988925934
10,132,2608201728,23.327697068452835
11,142,3015180288,26.36202424764633
12,152,3451650048,29.76350113749504
13,162,3917611008,33.16497802734375
14,172,4413063168,36.97624150663614
15,182,4938006528,40.787504985928535
16,192,5492441088,45.11855822056532
17,202,6076366848,49.4496114552021
18,212,6689783808,54.06991019845009
19,222,7332691968,58.69020894169808
20,232,8005091328,65.86756277829409
21,242,8706981888,73.0449166148901
22,252,9438363648,76.37336757034063
23,262,10199236608,79.70181852579117
24,272,10989600768,85.69624274969101
25,282,11809456128,91.69066697359084
26,292,12658802688,97.90940862149
27,302,13537640448,104.12815026938917
28,312,14445969408,110.57184357196093
29,322,15383789568,117.0155368745327
30,332,16351100928,124.39808715134859
31,342,17347903488,131.78063742816448
32,352,18374197248,139.24160972237587
33,362,19429982208,146.70258201658726
34,372,20515258368,163.6483445763588
35,382,21630025728,180.59410713613036
36,392,22774284288,189.95515629649162
37,402,23948034048,199.3162054568529
38,412,25151275008,209.26003623753786
39,422,26384007168,219.2038670182228
40,432,27646230528,229.61534559726715
41,442,28937945088,240.0268241763115
42,452,30259150848,250.7286947220564
43,462,31609847808,261.4305652678013
44,472,32990035968,272.7303272113204
45,482,34399715328,284.0300891548395
46,492,35838885888,295.5389004200697
47,502,37307547648,307.0477116852999
48,512,38805700608,319.2348098382354
49,522,40333344768,331.4219079911709
50,532,41890480128,344.6651631966233
51,542,43477106688,357.90841840207577
52,552,45093224448,371.598768979311
53,562,46738833408,385.2891195565462
54,572,48413933568,399.2842733860016
55,582,50118524928,413.27942721545696
56,592,51852607488,427.57335770875216
57,602,53616181248,441.86728820204735
58,612,55409246208,458.46200827509165
59,622,57231802368,475.056728348136
60,632,59083849728,487.5381598249078
61,642,60965388288,500.0195913016796
62,652,62876418048,515.7136088237166
63,662,64816939008,531.4076263457537
64,672,66786951168,547.4736616015434
65,682,68786454528,563.5396968573332
66,692,70815449088,579.6487303450704
67,702,72873934848,595.7577638328075
