Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,"[0.0078125, 0.01220703125, 0.030517578125]","[0.0, 0.0, 0.0]",1.0981634259223938
140,69160,"[0.01171875, 0.025634765625, 0.059814453125]","[0.0, 0.0, 0.0]",1.1500036343932152
180,110520,"[0.01171875, 0.032958984375, 0.076904296875]","[0.0, 0.0, 0.0]",6.02569617331028
220,161480,"[0.015625, 0.0537109375, 0.120849609375]","[0.0, 0.0, 0.0]",1.1038649827241898
260,222040,"[0.01953125, 0.079345703125, 0.174560546875]","[0.0, 0.0, 0.0]",1.1203056201338768
300,292200,"[0.01953125, 0.091552734375, 0.201416015625]","[0.0, 0.0, 0.0]",1.1004619300365448
340,371960,"[0.0234375, 0.12451171875, 0.269775390625]","[0.0, 0.0, 0.0]",6.1281416565179825
380,461320,"[0.0234375, 0.13916015625, 0.301513671875]","[0.0, 0.0, 0.0]",1.1749854311347008
420,560280,"[0.02734375, 0.179443359375, 0.384521484375]","[0.0, 0.0, 0.0]",1.140856184065342
460,668840,"[0.03125, 0.224609375, 0.477294921875]","[0.0, 0.0, 0.0]",6.15252461284399
500,787000,"[0.03125, 0.244140625, 0.518798828125]","[0.0, 0.0, 0.0]",6.135222502052784
540,914760,"[0.03515625, 0.296630859375, 0.626220703125]","[0.0, 0.0, 0.0]",1.1900458484888077
580,1052120,"[0.0390625, 0.35400390625, 0.743408203125]","[0.0, 0.0, 0.0]",1.118517480790615
620,1199080,"[0.0390625, 0.37841796875, 0.794677734375]","[0.0, 0.0, 0.0]",1.1557918041944504
660,1355640,"[0.04296875, 0.443115234375, 0.926513671875]","[0.0, 0.0, 0.0]",1.1927522718906403
700,1521800,"[0.04296875, 0.469970703125, 0.982666015625]","[0.0, 0.0, 0.0]",6.176571361720562
740,1697560,"[0.046875, 0.5419921875, 1.13]","[0.0, 0.0, 0.0]",6.180295720696449
780,1882920,"[0.05078125, 0.618896484375, 1.29]","[0.0, 0.0, 0.0]",6.2272995710372925
820,2077880,"[0.05078125, 0.650634765625, 1.35]","[0.0, 0.0, 0.0]",6.210110150277615
860,2282440,"[0.0546875, 0.73486328125, 1.52]","[0.0, 0.0, 0.0]",1.163269393146038
900,2496600,"[0.05859375, 0.823974609375, 1.7]","[0.0, 0.0, 0.0]",6.254441104829311
940,2720360,"[0.05859375, 0.860595703125, 1.78]","[0.0, 0.0, 0.0]",6.251426413655281
980,2953720,"[0.0625, 0.95703125, 1.97]","[0.0, 0.0, 0.0]",6.2355902045965195
1020,3196680,"[0.0625, 0.99609375, 2.05]","[0.0, 0.0, 0.0]",6.285472773015499
1060,3449240,"[0.06640625, 1.1, 2.26]","[0.0, 0.0, 0.0]",6.209265440702438
1100,3711400,"[0.0703125, 1.21, 2.48]","[0.0, 0.0, 0.0]",6.213237531483173
1140,3983160,"[0.0703125, 1.25, 2.57]","[0.0, 0.0, 0.0]",6.253288127481937
1180,4264520,"[0.07421875, 1.37, 2.81]","[0.0, 0.0, 0.0]",6.243910640478134
1220,4555480,"[0.078125, 1.49, 3.05]","[0.0, 0.0, 0.0]",1.1705122888088226
1260,4856040,"[0.078125, 1.54, 3.15]","[0.0, 0.0, 0.0]",6.239897571504116
1300,5166200,"[0.08203125, 1.67, 3.41]","[0.0, 0.0, 0.0]",6.293764337897301
1340,5485960,"[0.08203125, 1.72, 3.52]","[0.0, 0.0, 0.0]",6.183038465678692
1380,5815320,"[0.0859375, 1.85, 3.79]","[0.0, 0.0, 0.0]",6.272501312196255
1420,6154280,"[0.08984375, 1.99, 4.07]","[0.0, 0.0, 0.0]",6.235926412045956
1460,6502840,"[0.08984375, 2.05, 4.19]","[0.0, 0.0, 0.0]",6.285742856562138
