Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
2,13864,"[0.421875, 0.000244140625, 0.00048828125, 0.00048828125]","[0.0, 0.0, 0.0, 0.0]",0.4731491208076477
22,154704,"[0.421875, 0.00146484375, 0.0029296875, 0.0029296875]","[0.0, 0.0, 0.0, 0.0]",0.4334482364356518
42,299544,"[0.421875, 0.002685546875, 0.00537109375, 0.00537109375]","[0.0, 0.0, 0.0, 0.0]",0.4595210775732994
62,448384,"[0.421875, 0.00390625, 0.0078125, 0.0078125]","[0.0, 0.0, 0.0, 0.0]",0.4748264327645302
82,601224,"[0.84375, 0.01025390625, 0.0205078125, 0.015380859375]","[0.0, 0.0, 0.0, 0.0]",3.132157027721405
102,758064,"[0.84375, 0.0126953125, 0.025390625, 0.01904296875]","[0.0, 0.0, 0.0, 0.0]",0.48544490709900856
122,918904,"[0.84375, 0.01513671875, 0.0302734375, 0.022705078125]","[0.0, 0.0, 0.0, 0.0]",0.46126870438456535
142,1083744,"[1.27, 0.0263671875, 0.052734375, 0.03515625]","[0.0, 0.0, 0.0, 0.0]",0.5647391080856323
162,1252584,"[1.27, 0.030029296875, 0.06005859375, 0.0400390625]","[0.0, 0.0, 0.0, 0.0]",0.4714340902864933
182,1425424,"[1.27, 0.03369140625, 0.0673828125, 0.044921875]","[0.0, 0.0, 0.0, 0.0]",0.5051861517131329
202,1602264,"[1.69, 0.0498046875, 0.099609375, 0.062255859375]","[0.0, 0.0, 0.0, 0.0]",3.2433560118079185
222,1783104,"[1.69, 0.0546875, 0.109375, 0.068359375]","[0.0, 0.0, 0.0, 0.0]",3.2281852327287197
242,1967944,"[1.69, 0.0595703125, 0.119140625, 0.074462890625]","[0.0, 0.0, 0.0, 0.0]",3.284894861280918
262,2156784,"[2.11, 0.08056640625, 0.1611328125, 0.0966796875]","[0.0, 0.0, 0.0, 0.0]",3.2846154645085335
282,2349624,"[2.11, 0.086669921875, 0.17333984375, 0.10400390625]","[0.0, 0.0, 0.0, 0.0]",3.252241760492325
302,2546464,"[2.11, 0.0927734375, 0.185546875, 0.111328125]","[0.0, 0.0, 0.0, 0.0]",0.5153072997927666
322,2747304,"[2.53, 0.11865234375, 0.2373046875, 0.138427734375]","[0.0, 0.0, 0.0, 0.0]",3.20672569796443
342,2952144,"[2.53, 0.1259765625, 0.251953125, 0.14697265625]","[0.0, 0.0, 0.0, 0.0]",3.1255632638931274
362,3160984,"[2.53, 0.13330078125, 0.2666015625, 0.155517578125]","[0.0, 0.0, 0.0, 0.0]",0.5410807207226753
382,3373824,"[2.53, 0.140625, 0.28125, 0.1640625]","[0.0, 0.0, 0.0, 0.0]",3.1663579866290092
402,3590664,"[2.95, 0.172607421875, 0.34521484375, 0.197265625]","[0.0, 0.0, 0.0, 0.0]",3.240018617361784
422,3811504,"[2.95, 0.18115234375, 0.3623046875, 0.20703125]","[0.0, 0.0, 0.0, 0.0]",3.155751619488001
442,4036344,"[2.95, 0.189697265625, 0.37939453125, 0.216796875]","[0.0, 0.0, 0.0, 0.0]",3.21764312684536
462,4265184,"[3.38, 0.2265625, 0.453125, 0.2548828125]","[0.0, 0.0, 0.0, 0.0]",3.1981770880520344
482,4498024,"[3.38, 0.236328125, 0.47265625, 0.265869140625]","[0.0, 0.0, 0.0, 0.0]",2.4251029826700687
502,4734864,"[3.38, 0.24609375, 0.4921875, 0.27685546875]","[0.0, 0.0, 0.0, 0.0]",3.17854480817914
522,4975704,"[3.8, 0.287841796875, 0.57568359375, 0.31982421875]","[0.0, 0.0, 0.0, 0.0]",3.2813092693686485
542,5220544,"[3.8, 0.298828125, 0.59765625, 0.33203125]","[0.0, 0.0, 0.0, 0.0]",3.2266206108033657
562,5469384,"[3.8, 0.309814453125, 0.61962890625, 0.34423828125]","[0.0, 0.0, 0.0, 0.0]",3.197364043444395
582,5722224,"[4.22, 0.3564453125, 0.712890625, 0.39208984375]","[0.0, 0.0, 0.0, 0.0]",3.212121780961752
602,5979064,"[4.22, 0.36865234375, 0.7373046875, 0.405517578125]","[0.0, 0.0, 0.0, 0.0]",3.2356856390833855
622,6239904,"[4.22, 0.380859375, 0.76171875, 0.4189453125]","[0.0, 0.0, 0.0, 0.0]",3.243320155888796
642,6504744,"[4.64, 0.432373046875, 0.86474609375, 0.4716796875]","[0.0, 0.0, 0.0, 0.0]",3.1993426382541656
662,6773584,"[4.64, 0.44580078125, 0.8916015625, 0.486328125]","[0.0, 0.0, 0.0, 0.0]",0.596415251493454
682,7046424,"[4.64, 0.459228515625, 0.91845703125, 0.5009765625]","[0.0, 0.0, 0.0, 0.0]",3.1688963063061237
