Num neuronas,# MACs,Inference time
100,37400,0.007897615432739258
140,69160,0.011233612895011902
180,110520,0.014707446098327637
220,161480,0.01807883381843567
260,222040,0.022649765014648438
300,292200,0.030232593417167664
340,371960,0.03384612500667572
380,461320,0.04000961780548096
420,560280,0.053184106945991516
460,668840,0.07434375584125519
500,787000,0.08229725062847137
540,914760,0.08391030132770538
580,1052120,0.09286962449550629
620,1199080,0.10417960584163666
660,1355640,0.11334754526615143
700,1521800,0.14045648276805878
740,1697560,0.1385081559419632
780,1882920,0.15443004667758942
820,2077880,0.19234605133533478
860,2282440,0.2182386815547943
900,2496600,0.23580901324748993
940,2720360,0.2976376563310623
980,2953720,0.2693496644496918
1020,3196680,0.30451640486717224
1060,3449240,0.3778822720050812
1100,3711400,0.6002113223075867
1140,3983160,0.7873848080635071
1180,4264520,0.6332695484161377
1220,4555480,0.6882138550281525
1260,4856040,0.7518865168094635
1300,5166200,0.8154436945915222
1340,5485960,0.8285138756036758
1380,5815320,0.8082855492830276
1420,6154280,0.9361300617456436
1460,6502840,1.0339785367250443
1500,6861000,0.949544832110405
1540,7228760,1.0138489305973053
1580,7606120,1.1858195066452026
1620,7993080,1.2538228183984756
1660,8389640,1.3860557228326797
1700,8795800,1.282883808016777
1740,9211560,1.4194995164871216
1780,9636920,1.4551561325788498
1820,10071880,1.613197848200798
1860,10516440,1.7158370465040207
1900,10970600,1.691482961177826
1940,11434360,1.7524175345897675
1980,11907720,1.8936563283205032
2020,12390680,2.0507220178842545
2060,12883240,2.030136063694954
2100,13385400,2.216530963778496
2140,13897160,2.2298414260149
2180,14418520,2.2753439843654633
2220,14949480,2.3038964718580246
2260,15490040,2.406761050224304
2300,16040200,2.5264620780944824
2340,16599960,2.7029551565647125
2380,17169320,2.923484891653061
2420,17748280,3.0334871262311935
2460,18336840,2.8538312762975693
2500,18935000,3.110921010375023
2540,19542760,3.168877214193344
2580,20160120,3.2362695783376694
2620,20787080,3.4434590488672256
