Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,0.050537109375,0.0,0.11334754526615143
140,69160,0.09716796875,0.0,0.09671691805124283
180,110520,0.12158203125,0.0,0.09285286068916321
220,161480,0.190185546875,0.0,0.14259107410907745
260,222040,0.2734375,0.0,0.10967440903186798
300,292200,0.3125,0.0,0.0915108248591423
340,371960,0.417724609375,0.0,0.1266850158572197
380,461320,0.464111328125,0.0,0.09812600910663605
420,560280,0.59130859375,0.0,0.10084826499223709
460,668840,0.733154296875,0.0,0.11893268674612045
500,787000,0.794189453125,0.0,0.14978274703025818
540,914760,0.9580078125,0.0,0.13030041009187698
580,1052120,1.14,0.0,0.14584138989448547
620,1199080,1.21,0.0,0.14489423483610153
660,1355640,1.41,0.0,0.12323819100856781
700,1521800,1.5,0.0,0.13764295727014542
740,1697560,1.72,0.0,0.13372860848903656
780,1882920,1.96,0.0,0.18031056970357895
820,2077880,2.05,0.0,0.1291520893573761
860,2282440,2.31,0.0,0.16482453793287277
900,2496600,2.59,0.0,0.18937140703201294
940,2720360,2.7,0.0,0.14066603034734726
980,2953720,2.99,0.0,0.17314404249191284
1020,3196680,3.11,0.0,0.19330717623233795
1060,3449240,3.43,0.0,0.1461077481508255
1100,3711400,3.76,0.0,0.14076288789510727
1140,3983160,3.9,0.0,0.12058205902576447
1180,4264520,4.25,0.0,0.1320047304034233
1220,4555480,4.62,0.0,0.17332099378108978
1260,4856040,4.77,0.0,0.14800205826759338
1300,5166200,5.16,0.0,0.1538274809718132
1340,5485960,5.32,0.0,0.13404805213212967
1380,5815320,5.73,0.0,0.22575166076421738
1420,6154280,6.16,0.0,0.23380853235721588
1460,6502840,6.33,0.0,0.25399867445230484
1500,6861000,6.78,0.0,0.24103280156850815
1540,7228760,7.24,0.0,0.24652667343616486
1580,7606120,7.43,0.0,0.2233395352959633
1620,7993080,5.34,2.57,7.423567585647106
1660,8389640,5.47,2.63,7.62258842587471
1700,8795800,5.81,2.8,8.084769360721111
1740,9211560,6.16,2.97,8.550203405320644
1780,9636920,6.3,3.04,8.726916275918484
1820,10071880,6.67,3.22,9.216688573360443
1860,10516440,7.04,3.41,9.708861820399761
1900,10970600,7.19,3.48,9.916966781020164
1940,11434360,7.58,3.67,10.442530736327171
1980,11907720,7.73,3.75,10.625038295984268
2020,12390680,4.19,7.89,21.834163926541805
2060,12883240,4.4,8.3,22.959898225963116
2100,13385400,4.49,8.46,23.38358201086521
2140,13897160,4.7,8.88,24.520467035472393
2180,14418520,4.93,9.31,25.73038451373577
2220,14949480,5.01,9.48,26.19480900466442
2260,15490040,5.24,9.93,27.363840490579605
2300,16040200,5.33,10.11,27.885405346751213
2340,16599960,5.57,10.57,29.129326343536377
2380,17169320,5.81,11.04,30.37780337035656
2420,17748280,5.91,11.23,30.88094014674425
2460,18336840,6.16,11.71,32.205505296587944
2500,18935000,6.41,12.21,33.56730658560991
2540,19542760,6.51,12.4,34.118383191525936
2580,20160120,6.77,12.91,35.446868278086185
2620,20787080,6.88,13.11,36.02840658277273
