Hidden neurons,# MACs,On chip mem used,Inference time
2,13844,432.25,0.14915647061199558
502,3474844,3.41,0.1604342072898028
1002,6935844,6.81,0.19001666152355623
1502,10396844,94.00,27.960332148537343
2002,13857844,125.25,37.03726543949879
2502,17318844,156.50,46.224600616462375
3002,20779844,187.75,54.21800343129708
3502,24240844,219.00,63.34335555569554
4002,27701844,250.25,72.49853646914873
4502,31162844,281.50,81.65356916926649
