Num neuronas,# MACs,Inference time
100,37400,0.008090399205684662
140,69160,0.011139549314975739
180,110520,0.015616416931152344
220,161480,0.019193626940250397
260,222040,0.02224370837211609
300,292200,0.02925284206867218
340,371960,0.03388989716768265
380,461320,0.04137028008699417
420,560280,0.05996786057949066
460,668840,0.06766524165868759
500,787000,0.06454437971115112
540,914760,0.08367747068405151
580,1052120,0.07931329309940338
620,1199080,0.09666290134191513
660,1355640,0.10976381599903107
700,1521800,0.12475531548261642
740,1697560,0.12262631207704544
780,1882920,0.15411898493766785
820,2077880,0.1838812604546547
860,2282440,0.20610354840755463
900,2496600,0.21218694746494293
940,2720360,0.32567698508501053
980,2953720,0.28481893241405487
1020,3196680,0.32859761267900467
1060,3449240,0.3807544708251953
1100,3711400,0.6049014627933502
1140,3983160,0.6388714537024498
1180,4264520,0.5338191986083984
1220,4555480,0.7722415030002594
1260,4856040,0.8316189050674438
1300,5166200,0.7889149710536003
1340,5485960,0.8433153852820396
1380,5815320,0.760447233915329
1420,6154280,0.9459462016820908
1460,6502840,0.9292680770158768
1500,6861000,1.0142596438527107
1540,7228760,1.017734408378601
1580,7606120,1.1317124590277672
1620,7993080,1.2522004544734955
1660,8389640,1.4479104429483414
1700,8795800,1.4164019376039505
1740,9211560,1.571192406117916
1780,9636920,1.6054660081863403
1820,10071880,1.6272682696580887
1860,10516440,1.782144419848919
1900,10970600,1.7687631770968437
1940,11434360,1.8181055784225464
1980,11907720,2.003725618124008
2020,12390680,2.195357345044613
2060,12883240,2.111908048391342
2100,13385400,2.3035574704408646
2140,13897160,2.3576486855745316
2180,14418520,2.3571019992232323
2220,14949480,2.5150123983621597
2260,15490040,2.4951817467808723
2300,16040200,2.402150072157383
2340,16599960,2.8401101008057594
2380,17169320,2.7418825775384903
2420,17748280,2.883222885429859
2460,18336840,2.992679364979267
2500,18935000,3.2668961212038994
2540,19542760,3.161141648888588
2580,20160120,3.3808276057243347
2620,20787080,3.5753948614001274
