Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,"[0.0078125, 0.01220703125, 0.01220703125, 0.018310546875]","[0.0, 0.0, 0.0, 0.0]",8.13185703009367
140,69160,"[0.01171875, 0.025634765625, 0.025634765625, 0.0341796875]","[0.0, 0.0, 0.0, 0.0]",1.5184520743787289
180,110520,"[0.01171875, 0.032958984375, 0.032958984375, 0.0439453125]","[0.0, 0.0, 0.0, 0.0]",1.4989017508924007
220,161480,"[0.015625, 0.0537109375, 0.0537109375, 0.067138671875]","[0.0, 0.0, 0.0, 0.0]",1.5293080359697342
260,222040,"[0.01953125, 0.079345703125, 0.079345703125, 0.09521484375]","[0.0, 0.0, 0.0, 0.0]",1.495694275945425
300,292200,"[0.01953125, 0.091552734375, 0.091552734375, 0.10986328125]","[0.0, 0.0, 0.0, 0.0]",8.225052151829004
340,371960,"[0.0234375, 0.12451171875, 0.12451171875, 0.145263671875]","[0.0, 0.0, 0.0, 0.0]",1.4956658706068993
380,461320,"[0.0234375, 0.13916015625, 0.13916015625, 0.162353515625]","[0.0, 0.0, 0.0, 0.0]",8.273009210824966
420,560280,"[0.02734375, 0.179443359375, 0.179443359375, 0.205078125]","[0.0, 0.0, 0.0, 0.0]",1.5466739423573017
460,668840,"[0.03125, 0.224609375, 0.224609375, 0.252685546875]","[0.0, 0.0, 0.0, 0.0]",1.6215196810662746
500,787000,"[0.03125, 0.244140625, 0.244140625, 0.274658203125]","[0.0, 0.0, 0.0, 0.0]",1.5337597578763962
540,914760,"[0.03515625, 0.296630859375, 0.296630859375, 0.32958984375]","[0.0, 0.0, 0.0, 0.0]",1.4937943778932095
580,1052120,"[0.0390625, 0.35400390625, 0.35400390625, 0.389404296875]","[0.0, 0.0, 0.0, 0.0]",1.5127635560929775
620,1199080,"[0.0390625, 0.37841796875, 0.37841796875, 0.416259765625]","[0.0, 0.0, 0.0, 0.0]",8.265214506536722
660,1355640,"[0.04296875, 0.443115234375, 0.443115234375, 0.4833984375]","[0.0, 0.0, 0.0, 0.0]",1.6333553940057755
700,1521800,"[0.04296875, 0.469970703125, 0.469970703125, 0.5126953125]","[0.0, 0.0, 0.0, 0.0]",1.5949415974318981
740,1697560,"[0.046875, 0.5419921875, 0.5419921875, 0.587158203125]","[0.0, 0.0, 0.0, 0.0]",1.617278903722763
780,1882920,"[0.05078125, 0.618896484375, 0.618896484375, 0.66650390625]","[0.0, 0.0, 0.0, 0.0]",1.556171104311943
820,2077880,"[0.05078125, 0.650634765625, 0.650634765625, 0.70068359375]","[0.0, 0.0, 0.0, 0.0]",8.29956540837884
860,2282440,"[0.0546875, 0.73486328125, 0.73486328125, 0.787353515625]","[0.0, 0.0, 0.0, 0.0]",1.576113048940897
900,2496600,"[0.05859375, 0.823974609375, 0.823974609375, 0.87890625]","[0.0, 0.0, 0.0, 0.0]",8.279960602521896
940,2720360,"[0.05859375, 0.860595703125, 0.860595703125, 0.91796875]","[0.0, 0.0, 0.0, 0.0]",1.6279262490570545
980,2953720,"[0.0625, 0.95703125, 0.95703125, 1.02]","[0.0, 0.0, 0.0, 0.0]",8.355608209967613
1020,3196680,"[0.0625, 0.99609375, 0.99609375, 1.06]","[0.0, 0.0, 0.0, 0.0]",8.390730246901512
1060,3449240,"[0.06640625, 1.1, 1.1, 1.16]","[0.0, 0.0, 0.0, 0.0]",8.300750982016325
1100,3711400,"[0.0703125, 1.21, 1.21, 1.28]","[0.0, 0.0, 0.0, 0.0]",1.6325362958014011
1140,3983160,"[0.0703125, 1.25, 1.25, 1.32]","[0.0, 0.0, 0.0, 0.0]",1.6039907932281494
1180,4264520,"[0.07421875, 1.37, 1.37, 1.44]","[0.0, 0.0, 0.0, 0.0]",7.8313699923455715
1220,4555480,"[0.078125, 1.49, 1.49, 1.56]","[0.0, 0.0, 0.0, 0.0]",1.5697553753852844
1260,4856040,"[0.078125, 1.54, 1.54, 1.61]","[0.0, 0.0, 0.0, 0.0]",1.6147228889167309
1300,5166200,"[0.08203125, 1.67, 1.67, 1.75]","[0.0, 0.0, 0.0, 0.0]",1.5928596258163452
1340,5485960,"[0.08203125, 1.72, 1.72, 1.8]","[0.0, 0.0, 0.0, 0.0]",8.342558983713388
1380,5815320,"[0.0859375, 1.85, 1.85, 1.94]","[0.0, 0.0, 0.0, 0.0]",8.41116439551115
1420,6154280,"[0.08984375, 1.99, 1.99, 2.08]","[0.0, 0.0, 0.0, 0.0]",8.318429812788963
1460,6502840,"[0.08984375, 2.05, 2.05, 2.14]","[0.0, 0.0, 0.0, 0.0]",8.43117106705904
1500,6861000,"[0.09375, 2.2, 2.2, 2.29]","[0.0, 0.0, 0.0, 0.0]",8.412479422986507
1540,7228760,"[0.09765625, 2.35, 2.35, 2.44]","[0.0, 0.0, 0.0, 0.0]",8.489439729601145
1580,7606120,"[0.09765625, 2.41, 2.41, 2.51]","[0.0, 0.0, 0.0, 0.0]",1.6438281163573265
1620,7993080,"[0.1015625, 2.57, 2.57, 2.67]","[0.0, 0.0, 0.0, 0.0]",8.334357291460037
1660,8389640,"[0.1015625, 2.63, 2.63, 2.74]","[0.0, 0.0, 0.0, 0.0]",8.433572016656399
1700,8795800,"[0.10546875, 2.8, 2.8, 2.91]","[0.0, 0.0, 0.0, 0.0]",1.656190026551485
1740,9211560,"[0.109375, 2.97, 2.97, 3.08]","[0.0, 0.0, 0.0, 0.0]",1.605421770364046
1780,9636920,"[0.109375, 3.04, 3.04, 3.15]","[0.0, 0.0, 0.0, 0.0]",8.305804338306189
1820,10071880,"[0.11328125, 3.22, 3.22, 3.33]","[0.0, 0.0, 0.0, 0.0]",8.429542649537325
1860,10516440,"[0.1171875, 3.41, 3.41, 3.52]","[0.0, 0.0, 0.0, 0.0]",8.369801100343466
1900,10970600,"[0.1171875, 3.48, 3.48, 3.59]","[0.0, 0.0, 0.0, 0.0]",1.521953847259283
1940,11434360,"[0.12109375, 3.67, 3.67, 3.79]","[0.0, 0.0, 0.0, 0.0]",8.469366934150457
1980,11907720,"[0.12109375, 3.75, 3.75, 3.87]","[0.0, 0.0, 0.0, 0.0]",8.397429250180721
2020,12390680,"[0.125, 3.95, 3.95, 4.07]","[0.0, 0.0, 0.0, 0.0]",8.435706607997417
2060,12883240,"[0.12890625, 4.15, 4.15, 4.27]","[0.0, 0.0, 0.0, 0.0]",8.406111970543861
2100,13385400,"[0.12890625, 4.23, 4.23, 4.36]","[0.0, 0.0, 0.0, 0.0]",1.6817445866763592
2140,13897160,"[0.1328125, 4.44, 4.44, 4.57]","[0.0, 0.0, 0.0, 0.0]",8.4212152287364
2180,14418520,"[0.13671875, 4.66, 4.66, 4.79]","[0.0, 0.0, 0.0, 0.0]",8.426671847701073
2220,14949480,"[0.13671875, 4.74, 4.74, 4.88]","[0.0, 0.0, 0.0, 0.0]",8.435877971351147
2260,15490040,"[0.140625, 4.97, 4.97, 5.1]","[0.0, 0.0, 0.0, 0.0]",1.7841337248682976
2300,16040200,"[0.140625, 5.05, 5.05, 5.19]","[0.0, 0.0, 0.0, 0.0]",1.6401526518166065
2340,16599960,"[0.14453125, 5.28, 5.28, 5.43]","[0.0, 0.0, 0.0, 0.0]",8.418431505560875
2380,17169320,"[0.1484375, 5.52, 5.52, 5.67]","[0.0, 0.0, 0.0, 0.0]",8.402426727116108
2420,17748280,"[0.1484375, 5.61, 5.61, 5.76]","[0.0, 0.0, 0.0, 0.0]",8.431659080088139
2460,18336840,"[0.15234375, 5.86, 5.86, 6.01]","[0.0, 0.0, 0.0, 0.0]",8.399861864745617
2500,18935000,"[0.15625, 6.1, 6.1, 6.26]","[0.0, 0.0, 0.0, 0.0]",8.449205663055182
2540,19542760,"[0.15625, 6.2, 6.2, 6.36]","[0.0, 0.0, 0.0, 0.0]",8.37216479703784
2580,20160120,"[0.16015625, 6.46, 6.46, 6.61]","[0.0, 0.0, 0.0, 0.0]",8.443430531769991
2620,20787080,"[0.16015625, 6.56, 6.56, 6.72]","[0.0, 0.0, 0.0, 0.0]",8.378918282687664
