Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,"[0.0078125, 0.01220703125, 0.030517578125]","[0.0, 0.0, 0.0]",0.7019099034368992
140,69160,"[0.01171875, 0.025634765625, 0.059814453125]","[0.0, 0.0, 0.0]",0.701327733695507
180,110520,"[0.01171875, 0.032958984375, 0.076904296875]","[0.0, 0.0, 0.0]",0.7078395783901215
220,161480,"[0.015625, 0.0537109375, 0.120849609375]","[0.0, 0.0, 0.0]",0.7027450017631054
260,222040,"[0.01953125, 0.079345703125, 0.174560546875]","[0.0, 0.0, 0.0]",0.7095239870250225
300,292200,"[0.01953125, 0.091552734375, 0.201416015625]","[0.0, 0.0, 0.0]",0.7138418592512608
340,371960,"[0.0234375, 0.12451171875, 0.269775390625]","[0.0, 0.0, 0.0]",0.7091435790061951
380,461320,"[0.0234375, 0.13916015625, 0.301513671875]","[0.0, 0.0, 0.0]",0.7042127475142479
420,560280,"[0.02734375, 0.179443359375, 0.384521484375]","[0.0, 0.0, 0.0]",0.7143840380012989
460,668840,"[0.03125, 0.224609375, 0.477294921875]","[0.0, 0.0, 0.0]",0.7129323855042458
500,787000,"[0.03125, 0.244140625, 0.518798828125]","[0.0, 0.0, 0.0]",0.7138962857425213
540,914760,"[0.03515625, 0.296630859375, 0.626220703125]","[0.0, 0.0, 0.0]",0.717947855591774
580,1052120,"[0.0390625, 0.35400390625, 0.743408203125]","[0.0, 0.0, 0.0]",0.7167616486549377
620,1199080,"[0.0390625, 0.37841796875, 0.794677734375]","[0.0, 0.0, 0.0]",0.7148147933185101
660,1355640,"[0.04296875, 0.443115234375, 0.926513671875]","[0.0, 0.0, 0.0]",0.7152333110570908
700,1521800,"[0.04296875, 0.469970703125, 0.982666015625]","[0.0, 0.0, 0.0]",0.7143460586667061
740,1697560,"[0.046875, 0.5419921875, 1.13]","[0.0, 0.0, 0.0]",0.7140285894274712
780,1882920,"[0.05078125, 0.618896484375, 1.29]","[0.0, 0.0, 0.0]",0.7162762992084026
820,2077880,"[0.05078125, 0.650634765625, 1.35]","[0.0, 0.0, 0.0]",0.7187550328671932
860,2282440,"[0.0546875, 0.73486328125, 1.52]","[0.0, 0.0, 0.0]",0.7229617983102798
900,2496600,"[0.05859375, 0.823974609375, 1.7]","[0.0, 0.0, 0.0]",0.7211132720112801
940,2720360,"[0.05859375, 0.860595703125, 1.78]","[0.0, 0.0, 0.0]",0.7202405668795109
980,2953720,"[0.0625, 0.95703125, 1.97]","[0.0, 0.0, 0.0]",0.7172900065779686
1020,3196680,"[0.0625, 0.99609375, 2.05]","[0.0, 0.0, 0.0]",0.7191353105008602
1060,3449240,"[0.06640625, 1.1, 2.26]","[0.0, 0.0, 0.0]",0.724166464060545
1100,3711400,"[0.0703125, 1.21, 2.48]","[0.0, 0.0, 0.0]",0.7193811982870102
1140,3983160,"[0.0703125, 1.25, 2.57]","[0.0, 0.0, 0.0]",0.7178180851042271
1180,4264520,"[0.07421875, 1.37, 2.81]","[0.0, 0.0, 0.0]",0.7214892469346523
1220,4555480,"[0.078125, 1.49, 3.05]","[0.0, 0.0, 0.0]",0.7189014181494713
1260,4856040,"[0.078125, 1.54, 3.15]","[0.0, 0.0, 0.0]",0.7206579856574535
1300,5166200,"[0.08203125, 1.67, 3.41]","[0.0, 0.0, 0.0]",0.7203232310712337
1340,5485960,"[0.08203125, 1.72, 3.52]","[0.0, 0.0, 0.0]",0.7221745885908604
1380,5815320,"[0.0859375, 1.85, 3.79]","[0.0, 0.0, 0.0]",0.7232342287898064
1420,6154280,"[0.08984375, 1.99, 4.07]","[0.0, 0.0, 0.0]",0.7222813181579113
1460,6502840,"[0.08984375, 2.05, 4.19]","[0.0, 0.0, 0.0]",0.7240302488207817
1500,6861000,"[0.09375, 2.2, 4.49]","[0.0, 0.0, 0.0]",0.7239574007689953
1540,7228760,"[0.09765625, 2.35, 4.79]","[0.0, 0.0, 0.0]",0.7236889563500881
1580,7606120,"[0.09765625, 2.41, 4.92]","[0.0, 0.0, 0.0]",0.7227553427219391
1620,7993080,"[0.1015625, 2.57, 5.24]","[0.0, 0.0, 0.0]",0.7221920974552631
1660,8389640,"[0.1015625, 2.63, 5.37]","[0.0, 0.0, 0.0]",0.7289834320545197
1700,8795800,"[0.10546875, 2.8, 5.71]","[0.0, 0.0, 0.0]",0.7313577644526958
1740,9211560,"[0.109375, 2.97, 6.05]","[0.0, 0.0, 0.0]",0.723232813179493
1780,9636920,"[0.109375, 3.04, 6.19]","[0.0, 0.0, 0.0]",0.7317339070141315
1820,10071880,"[0.11328125, 3.22, 6.55]","[0.0, 0.0, 0.0]",0.7304512150585651
1860,10516440,"[0.1171875, 3.41, 6.93]","[0.0, 0.0, 0.0]",0.7274967059493065
1900,10970600,"[0.1171875, 3.48, 7.07]","[0.0, 0.0, 0.0]",0.7332020066678524
1940,11434360,"[0.12109375, 3.67, 7.46]","[0.0, 0.0, 0.0]",0.729061271995306
1980,11907720,"[0.12109375, 3.75, 7.61]","[0.0, 0.0, 0.0]",0.7317573204636574
2020,12390680,"[4.07, 3.95, 4.07]","[0.0, 0.0, 0.0]",0.739914048165083
2060,12883240,"[4.28, 4.15, 4.27]","[0.0, 0.0, 0.0]",0.741335788816214
2100,13385400,"[4.36, 4.23, 4.36]","[0.0, 0.0, 0.0]",0.738666507005692
2140,13897160,"[4.57, 4.44, 4.57]","[0.0, 0.0, 0.0]",0.742609385073185
2180,14418520,"[4.79, 4.66, 4.79]","[0.0, 0.0, 0.0]",0.745139930963516
2220,14949480,"[4.88, 4.74, 4.88]","[0.0, 0.0, 0.0]",0.75092138877511
2260,15490040,"[5.11, 4.97, 5.1]","[0.0, 0.0, 0.0]",0.74940392422676
2300,16040200,"[5.19, 5.05, 5.19]","[0.0, 0.0, 0.0]",0.75431341856718
2340,16599960,"[5.43, 5.28, 5.43]","[0.0, 0.0, 0.0]",0.75326312199235
2380,17169320,"[5.67, 5.52, 5.67]","[0.0, 0.0, 0.0]",0.75367996147275
2420,17748280,"[5.76, 5.61, 5.76]","[0.0, 0.0, 0.0]",0.75602837151289
2460,18336840,"[6.01, 5.86, 6.01]","[0.0, 0.0, 0.0]",0.75834568989277
2500,18935000,"[6.26, 6.1, 6.26]","[0.0, 0.0, 0.0]",0.761119005411863
2540,19542760,"[6.36, 6.2, 6.36]","[0.0, 0.0, 0.0]",0.762139333933592
2580,20160120,"[6.62, 6.46, 6.61]","[0.0, 0.0, 0.0]",0.762109482109547
2620,20787080,"[6.72, 6.56, 6.72]","[0.0, 0.0, 0.0]",0.76192330250144
