Hidden neurons,# MACs,On chip mem used,Inference time
2,13844,432.25,0.12734047695994377
27,186894,433.75,0.1269358606543392
52,359944,435.25,0.1177865672390908
77,532994,869.00,0.11327891508117319
102,706044,870.50,0.13199674626812338
127,879094,872.00,0.11911409483291209
152,1052144,1.27,0.12580036013387144
177,1225194,1.28,0.13924679718911648
202,1398244,1.70,0.12008563461713492
227,1571294,1.70,0.1413567577023059
252,1744344,1.70,0.14400420691818
277,1917394,2.13,0.14607205647043883
302,2090444,2.13,0.14399396716617047
327,2263494,2.55,0.12216282235458494
352,2436544,2.55,0.1242010660469532
377,2609594,2.55,0.11362744970247149
402,2782644,2.98,0.11327203996479511
427,2955694,2.98,0.13119005602784456
452,3128744,3.40,0.1436536823399365
477,3301794,3.40,0.11974412286654115
502,3474844,3.41,0.1294501825235784
527,3647894,3.83,0.11807989296503366
552,3820944,3.83,0.11706281499937177
577,3993994,4.25,0.11801858469843865
602,4167044,4.26,0.1422767743933946
627,4340094,4.26,0.12690209210850298
652,4513144,4.68,0.12502680770121516
677,4686194,4.68,0.12159066456370056
