Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
2060,12883240,"[0.12890625, 4.15, 4.15, 4.27]","[0.0, 0.0, 0.0, 0.0]",1.0087472945451736
2100,13385400,"[0.12890625, 4.23, 4.23, 4.36]","[0.0, 0.0, 0.0, 0.0]",1.0068750008940697
2140,13897160,"[0.1328125, 4.44, 4.44, 4.57]","[0.0, 0.0, 0.0, 0.0]",1.0057170502841473
2180,14418520,"[0.13671875, 4.66, 4.66, 4.79]","[0.0, 0.0, 0.0, 0.0]",1.0108616761863232
2220,14949480,"[0.13671875, 4.74, 4.74, 4.88]","[0.0, 0.0, 0.0, 0.0]",1.0136461071670055
2260,15490040,"[0.140625, 4.97, 4.97, 5.1]","[0.0, 0.0, 0.0, 0.0]",1.0053966753184795
2300,16040200,"[0.140625, 5.05, 5.05, 5.19]","[0.0, 0.0, 0.0, 0.0]",1.0054551996290684
2340,16599960,"[0.14453125, 5.28, 5.28, 5.43]","[0.0, 0.0, 0.0, 0.0]",1.0103445686399937
2380,17169320,"[0.1484375, 5.52, 5.52, 5.67]","[0.0, 0.0, 0.0, 0.0]",1.0102657414972782
2420,17748280,"[0.1484375, 5.61, 5.61, 5.76]","[0.0, 0.0, 0.0, 0.0]",1.013039592653513
2460,18336840,"[0.15234375, 5.86, 5.86, 6.01]","[0.0, 0.0, 0.0, 0.0]",1.0171978175640106
2500,18935000,"[0.15625, 6.1, 6.1, 6.26]","[0.0, 0.0, 0.0, 0.0]",1.0161109827458858
2540,19542760,"[0.15625, 6.2, 6.2, 6.36]","[0.0, 0.0, 0.0, 0.0]",1.0132440365850925
2580,20160120,"[0.16015625, 6.46, 6.46, 6.61]","[0.0, 0.0, 0.0, 0.0]",1.0139665193855762
2620,20787080,"[0.16015625, 6.56, 6.56, 6.72]","[0.0, 0.0, 0.0, 0.0]",1.0233182832598686
