Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
2,13864,"[0.422119140625, 0.00048828125, 0.00048828125]","[0.0, 0.0, 0.0]",0.34885434433817863
22,154704,"[0.42333984375, 0.0029296875, 0.0029296875]","[0.0, 0.0, 0.0]",0.3486671485006809
42,299544,"[0.424560546875, 0.00537109375, 0.00537109375]","[0.0, 0.0, 0.0]",0.33480580896139145
62,448384,"[0.42578125, 0.0078125, 0.0078125]","[0.0, 0.0, 0.0]",0.3810129128396511
82,601224,"[0.85400390625, 0.0205078125, 0.015380859375]","[0.0, 0.0, 0.0]",0.3897659480571747
102,758064,"[0.8564453125, 0.025390625, 0.01904296875]","[0.0, 0.0, 0.0]",0.36307377740740776
122,918904,"[0.85888671875, 0.0302734375, 0.022705078125]","[0.0, 0.0, 0.0]",0.41573913767933846
142,1083744,"[1.29, 0.052734375, 0.03515625]","[0.0, 0.0, 0.0]",0.38775382563471794
162,1252584,"[1.3, 0.06005859375, 0.0400390625]","[0.0, 0.0, 0.0]",0.48670172691345215
182,1425424,"[1.3, 0.0673828125, 0.044921875]","[0.0, 0.0, 0.0]",0.3437674604356289
202,1602264,"[1.74, 0.099609375, 0.062255859375]","[0.0, 0.0, 0.0]",2.3702257312834263
222,1783104,"[1.74, 0.109375, 0.068359375]","[0.0, 0.0, 0.0]",0.4489608108997345
242,1967944,"[1.75, 0.119140625, 0.074462890625]","[0.0, 0.0, 0.0]",0.38637174293398857
262,2156784,"[2.19, 0.1611328125, 0.0966796875]","[0.0, 0.0, 0.0]",2.428088802844286
282,2349624,"[2.2, 0.17333984375, 0.10400390625]","[0.0, 0.0, 0.0]",2.0421715453267097
302,2546464,"[2.2, 0.185546875, 0.111328125]","[0.0, 0.0, 0.0]",2.4475310929119587
322,2747304,"[2.65, 0.2373046875, 0.138427734375]","[0.0, 0.0, 0.0]",0.43627573177218437
342,2952144,"[2.66, 0.251953125, 0.14697265625]","[0.0, 0.0, 0.0]",2.226318698376417
362,3160984,"[2.66, 0.2666015625, 0.155517578125]","[0.0, 0.0, 0.0]",2.457886002957821
382,3373824,"[2.67, 0.28125, 0.1640625]","[0.0, 0.0, 0.0]",2.382952719926834
402,3590664,"[3.13, 0.34521484375, 0.197265625]","[0.0, 0.0, 0.0]",2.39937799051404
422,3811504,"[3.13, 0.3623046875, 0.20703125]","[0.0, 0.0, 0.0]",2.3447214625775814
442,4036344,"[3.14, 0.37939453125, 0.216796875]","[0.0, 0.0, 0.0]",2.3865336552262306
462,4265184,"[3.6, 0.453125, 0.2548828125]","[0.0, 0.0, 0.0]",2.4164305068552494
482,4498024,"[3.61, 0.47265625, 0.265869140625]","[0.0, 0.0, 0.0]",0.4963856190443039
502,4734864,"[3.62, 0.4921875, 0.27685546875]","[0.0, 0.0, 0.0]",2.3852461017668247
522,4975704,"[4.08, 0.57568359375, 0.31982421875]","[0.0, 0.0, 0.0]",2.412244211882353
542,5220544,"[4.1, 0.59765625, 0.33203125]","[0.0, 0.0, 0.0]",2.3743323981761932
562,5469384,"[4.11, 0.61962890625, 0.34423828125]","[0.0, 0.0, 0.0]",2.445290796458721
582,5722224,"[4.58, 0.712890625, 0.39208984375]","[0.0, 0.0, 0.0]",2.4278294295072556
602,5979064,"[4.59, 0.7373046875, 0.405517578125]","[0.0, 0.0, 0.0]",2.447835635393858
622,6239904,"[4.6, 0.76171875, 0.4189453125]","[0.0, 0.0, 0.0]",2.4229977279901505
642,6504744,"[5.07, 0.86474609375, 0.4716796875]","[0.0, 0.0, 0.0]",2.4667978286743164
662,6773584,"[5.09, 0.8916015625, 0.486328125]","[0.0, 0.0, 0.0]",2.4817814119160175
682,7046424,"[5.1, 0.91845703125, 0.5009765625]","[0.0, 0.0, 0.0]",2.3821494542062283
702,7323264,"[5.11, 0.9453125, 0.515625]","[0.0, 0.0, 0.0]",2.4161962792277336
722,7604104,"[5.59, 1.06, 0.574462890625]","[0.0, 0.0, 0.0]",2.3025497794151306
742,7888944,"[5.61, 1.09, 0.59033203125]","[0.0, 0.0, 0.0]",2.436813898384571
762,8177784,"[5.62, 1.12, 0.606201171875]","[0.0, 0.0, 0.0]",2.3837974295020103
782,8470624,"[6.11, 1.24, 0.669921875]","[0.0, 0.0, 0.0]",2.4654497392475605
802,8767464,"[6.12, 1.28, 0.68701171875]","[0.0, 0.0, 0.0]",2.497413195669651
822,9068304,"[6.14, 1.31, 0.7041015625]","[0.0, 0.0, 0.0]",2.4951230734586716
842,9373144,"[6.63, 1.44, 0.772705078125]","[0.0, 0.0, 0.0]",2.5078076869249344
862,9681984,"[6.64, 1.48, 0.791015625]","[0.0, 0.0, 0.0]",1.0325717739760876
882,9994824,"[6.66, 1.51, 0.809326171875]","[0.0, 0.0, 0.0]",2.432228997349739
902,10311664,"[7.16, 1.66, 0.8828125]","[0.0, 0.0, 0.0]",2.532471437007189
922,10632504,"[7.17, 1.69, 0.90234375]","[0.0, 0.0, 0.0]",2.4564508348703384
942,10957344,"[7.19, 1.73, 0.921875]","[0.0, 0.0, 0.0]",2.5251111947000027
962,11286184,"[7.69, 1.88, 1.0]","[0.0, 0.0, 0.0]",2.5406600907444954
982,11619024,"[7.71, 1.92, 1.02]","[0.0, 0.0, 0.0]",2.522400114685297
1002,11955864,"[7.73, 1.96, 1.04]","[0.0, 0.0, 0.0]",0.5074618384242058
1022,12296704,"[7.75, 2.0, 1.06]","[0.0, 0.0, 0.0]",2.5496301241219044
1042,12641544,"[1.08, 2.17, 1.15]","[7.17, 0.0, 0.0]",21.687259897589684
1062,12990384,"[1.1, 2.21, 1.17]","[7.17, 0.0, 0.0]",21.66873589158058
1082,13343224,"[1.12, 2.25, 1.19]","[7.17, 0.0, 0.0]",21.662055514752865
1102,13700064,"[1.21, 2.43, 1.28]","[7.59, 0.0, 0.0]",22.831998765468597
1122,14060904,"[1.23, 2.47, 1.3]","[7.59, 0.0, 0.0]",22.814360447227955
1142,14425744,"[1.26, 2.51, 1.33]","[7.59, 0.0, 0.0]",22.82688533887267
