Num filters,# MACs,Inference time
32,160432128,9.54028032720089
42,272498688,15.83346351981163
52,414056448,23.910338059067726
62,585105408,33.59098732471466
72,785645568,42.96410083770752
82,1015676928,56.39570578932762
92,1275199488,69.28957253694534
102,1564213248,86.17990091443062
112,1882718208,101.10129415988922
122,2230714368,122.22414091229439
132,2608201728,139.8231666535139
142,3015180288,163.52304816246033
152,3451650048,184.5152396708727
162,3917611008,210.98376251757145
172,4413063168,236.13934032619
182,4938006528,264.22932371497154
192,5492441088,290.1438307017088
202,6076366848,325.02282224595547
212,6689783808,353.82998175919056
222,7332691968,390.30097983777523
232,8005091328,422.53810353577137
242,8706981888,462.6094978302717
252,9438363648,496.6064281761646
262,10199236608,538.4974833577871
272,10989600768,578.0941564589739
282,11809456128,624.8859018087387
292,12658802688,663.7410800904036
302,13537640448,713.1503261625767
312,14445969408,754.3766926974058
322,15383789568,806.210745126009
332,16351100928,854.1000075638294
342,17347903488,905.9397391974926
352,18374197248,953.8831245154142
362,19429982208,1012.6444026827812
372,20515258368,1063.545472919941
382,21630025728,1121.5498801320791
392,22774284288,1176.02963373065
402,23948034048,1245.5377131700516
412,25151275008,1300.5686104297638
422,26384007168,1372.3147865384817
432,27646230528,1427.8198201209307
442,28937945088,1501.0108780115843
452,30259150848,1564.7136643528938
462,31609847808,1639.7504396736622
472,32990035968,1703.3527940511703
482,34399715328,1777.0256958901882
492,35838885888,1846.1598232388496
502,37307547648,1934.5706924796104
512,38805700608,1994.2872133105993
522,40333344768,2082.5312454253435
532,41890480128,2156.3253216445446
542,43477106688,2243.4074357151985
552,45093224448,2319.9438862502575
562,46738833408,2411.3334603607655
572,48413933568,2490.709001198411
582,50118524928,2589.513547718525
592,51852607488,2664.7200025618076
602,53616181248,2763.0002107471228
612,55409246208,2851.5904266387224
622,57231802368,2958.101272583008
632,59083849728,3033.2704707980156
642,60965388288,3138.5262683033943
652,62876418048,3227.355455979705
662,64816939008,3343.997562304139
672,66786951168,3422.903824597597
682,68786454528,3541.206942871213
692,70815449088,3637.3870950192213
702,72873934848,3750.420393422246
