Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
602,53616181248,"[0.0, 6.67, 3.32, 3.32]","[0.0, 0.0, 0.0, 0.0]",66.70434697298333
612,55409246208,"[0.0, 6.8, 3.39, 3.39]","[0.0, 0.0, 0.0, 0.0]",66.91938664093614
622,57231802368,"[0.0, 6.89, 3.43, 3.43]","[0.0, 0.0, 0.0, 0.0]",67.0305287791416
632,59083849728,"[0.0, 7.02, 3.5, 3.5]","[0.0, 0.0, 0.0, 0.0]",68.3245663670823
642,60965388288,"[3.93, 3.9, 3.9, 3.9]","[0.0, 0.0, 0.0, 0.0]",68.41782403877005
652,62876418048,"[4.0, 3.97, 3.97, 3.97]","[0.0, 0.0, 0.0, 0.0]",69.3895985162817
662,64816939008,"[4.05, 4.02, 4.02, 4.02]","[0.0, 0.0, 0.0, 0.0]",69.9025598471053
672,66786951168,"[4.12, 4.09, 4.09, 4.09]","[0.0, 0.0, 0.0, 0.0]",70.53653250681236
682,68786454528,"[4.17, 4.14, 4.14, 4.14]","[0.0, 0.0, 0.0, 0.0]",71.74175285268575
