Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
100,1504051200,[0.00537109375],[0.0],2.243609633296728
120,2158755840,[0.00537109375],[0.0],2.7589183300733566
140,2931425280,[0.008056640625],[0.0],2.956569194793701
160,3822059520,[0.008056640625],[0.0],4.14459640160203
180,4830658560,[0.008056640625],[0.0],5.0430637784302235
200,5957222400,[0.0107421875],[0.0],3.9519830606877804
220,7201751040,[0.0107421875],[0.0],4.712468944489956
240,8564244480,[0.0107421875],[0.0],4.696941003203392
260,10044702720,[0.013427734375],[0.0],9.766767732799053
280,11643125760,[0.013427734375],[0.0],5.7910652831196785
300,13359513600,[0.013427734375],[0.0],6.319918669760227
320,15193866240,[0.013427734375],[0.0],6.592100486159325
340,17146183680,[0.01611328125],[0.0],6.100407801568508
360,19216465920,[0.01611328125],[0.0],17.250296659767628
380,21404712960,[0.01611328125],[0.0],18.04135087877512
400,23710924800,[0.018798828125],[0.0],7.581617217510939
420,26135101440,[0.018798828125],[0.0],7.8099253587424755
440,28677242880,[0.018798828125],[0.0],20.712331403046846
460,31337349120,[0.021484375],[0.0],21.636577788740396
480,34115420160,[0.021484375],[0.0],9.036070667207241
500,37011456000,[0.021484375],[0.0],23.349909111857414
520,40025456640,[0.024169921875],[0.0],9.264185093343258
540,43157422080,[0.024169921875],[0.0],25.02833865582943
560,46407352320,[0.024169921875],[0.0],25.881341192871332
580,49775247360,[0.02685546875],[0.0],26.630878914147615
600,53261107200,[0.02685546875],[0.0],27.737209107726812
620,56864931840,[0.02685546875],[0.0],21.47485176101327
