Num filters,# MACs,Inference time
32,160432128,2.9557906091213226
42,272498688,7.129427045583725
52,414056448,6.604631431400776
62,585105408,12.511158362030983
72,785645568,11.841332539916039
82,1015676928,19.78720910847187
92,1275199488,18.574056215584278
102,1564213248,28.2150711864233
112,1882718208,26.984931901097298
122,2230714368,38.34836184978485
132,2608201728,36.620019003748894
142,3015180288,50.68564973771572
152,3451650048,48.63543435931206
162,3917611008,63.536977395415306
172,4413063168,61.215050518512726
182,4938006528,78.59604619443417
192,5492441088,75.75276866555214
202,6076366848,94.88145541399717
212,6689783808,91.78542625159025
222,7332691968,113.3780125528574
232,8005091328,110.69625802338123
242,8706981888,133.04292503744364
252,9438363648,129.13145497441292
262,10199236608,154.24751862883568
272,10989600768,151.03673934936523
282,11809456128,177.4297757074237
292,12658802688,173.12392499297857
302,13537640448,201.71715784817934
312,14445969408,196.87337055802345
322,15383789568,227.66881622374058
332,16351100928,224.56552367657423
342,17347903488,257.28692300617695
352,18374197248,251.46836042404175
362,19429982208,292.1242183074355
372,20515258368,288.7039603665471
382,21630025728,319.8572527617216
392,22774284288,314.43749461323023
402,23948034048,361.26518435776234
412,25151275008,354.3518390506506
422,26384007168,396.954920142889
432,27646230528,389.35018237680197
442,28937945088,434.63155813515186
452,30259150848,426.8871285021305
462,31609847808,472.5141106173396
472,32990035968,465.08367266505957
482,34399715328,513.6091448366642
492,35838885888,504.45349887013435
502,37307547648,556.9493845105171
512,38805700608,546.7092469334602
522,40333344768,600.2881750464439
532,41890480128,590.4309786856174
542,43477106688,646.6067144647241
552,45093224448,626.5157945454121
562,46738833408,695.8334352821112
572,48413933568,683.8270360603929
582,50118524928,744.8877226561308
592,51852607488,730.2407510578632
602,53616181248,795.297428034246
612,55409246208,779.7078499570489
622,57231802368,832.7542971819639
632,59083849728,832.6694332063198
642,60965388288,897.2639674320817
652,62876418048,884.651348926127
662,64816939008,951.5591692179441
672,66786951168,924.3128849193454
682,68786454528,990.6436931341887
692,70815449088,996.5012259781361
702,72873934848,1050.012692809105
