Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
602,53616181248,"[6.67, 3.32, 3.32]","[0.0, 0.0, 0.0]",67.38144150003791
612,55409246208,"[6.8, 3.39, 3.39]","[0.0, 0.0, 0.0]",73.55532273417339
622,57231802368,"[6.89, 3.43, 3.43]","[0.0, 0.0, 0.0]",74.60997910471633
632,59083849728,"[7.02, 3.5, 3.5]","[0.0, 0.0, 0.0]",75.83537672646344
642,60965388288,"[3.93, 3.9, 3.9]","[3.9, 0.0, 0.0]",85.16654233448207
652,62876418048,"[4.0, 3.97, 3.97]","[3.97, 0.0, 0.0]",86.62809764267877
662,64816939008,"[4.05, 4.02, 4.02]","[4.02, 0.0, 0.0]",87.75039691012353
672,66786951168,"[4.12, 4.09, 4.09]","[4.09, 0.0, 0.0]",89.1995207243599
682,68786454528,"[4.17, 4.14, 4.14]","[4.14, 0.0, 0.0]",90.3218089370057
