Num filters,# MACs,Inference time
32,160432128,5.21213561296463
42,272498688,12.912711128592491
52,414056448,12.430325150489807
62,585105408,23.14760908484459
72,785645568,22.0250952988863
82,1015676928,36.59389913082123
92,1275199488,34.72609259188175
102,1564213248,52.98674292862415
112,1882718208,50.65125599503517
122,2230714368,72.45335914194584
132,2608201728,69.13072615861893
142,3015180288,94.53170746564865
152,3451650048,91.23935736715794
162,3917611008,120.14241889119148
172,4413063168,116.24820157885551
182,4938006528,149.00428988039494
192,5492441088,143.70359107851982
202,6076366848,179.75219152867794
212,6689783808,174.90941658616066
222,7332691968,215.78063070774078
232,8005091328,209.87890660762787
242,8706981888,253.0060149729252
252,9438363648,246.17548286914825
262,10199236608,292.77164302766323
272,10989600768,285.0534897297621
282,11809456128,338.88527378439903
292,12658802688,328.88180390000343
302,13537640448,385.2069918066263
312,14445969408,377.2734124213457
322,15383789568,432.24211409687996
332,16351100928,424.97480288147926
342,17347903488,489.87055011093616
352,18374197248,477.63060592114925
362,19429982208,543.7160395085812
372,20515258368,535.9135046601295
382,21630025728,604.0307860821486
392,22774284288,590.5123483389616
402,23948034048,671.2626218795776
412,25151275008,652.6478137820959
422,26384007168,730.2493397146463
432,27646230528,717.2584999352694
442,28937945088,801.7644323408604
452,30259150848,787.8476120531559
462,31609847808,882.1992725133896
472,32990035968,859.228266403079
482,34399715328,951.3090662658215
492,35838885888,932.831421494484
502,37307547648,1032.86087885499
512,38805700608,1012.8038767725229
522,40333344768,1119.3828154355288
532,41890480128,1093.43446418643
542,43477106688,1199.4614712893963
552,45093224448,1187.353901565075
562,46738833408,1290.3224229812622
572,48413933568,1278.0190613120794
582,50118524928,1383.4148570895195
592,51852607488,1386.5741081535816
602,53616181248,1476.6795318573713
612,55409246208,1441.7834896594286
622,57231802368,1581.1709053814411
632,59083849728,1623.1939382851124
642,60965388288,1671.1183339357376
652,62876418048,1639.6734304726124
662,64816939008,1773.0313073843718
672,66786951168,1738.38309943676
682,68786454528,1873.759139329195
692,70815449088,1839.964099228382
702,72873934848,1993.068601936102
