Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
32,160432128,"[0.020751953125, 0.01806640625, 0.0361328125]","[0.0, 0.0, 0.0]",0.00838364940136671
42,272498688,"[0.02734375, 0.024658203125, 0.04931640625]","[0.0, 0.0, 0.0]",0.0084249721840024
52,414056448,"[0.03173828125, 0.029052734375, 0.05810546875]","[0.0, 0.0, 0.0]",0.05776385311037302
62,585105408,"[0.038330078125, 0.03564453125, 0.0712890625]","[0.0, 0.0, 0.0]",0.00795639120042324
72,785645568,"[0.08544921875, 0.080078125, 0.16015625]","[0.0, 0.0, 0.0]",0.008310573175549507
82,1015676928,"[0.0986328125, 0.09326171875, 0.1865234375]","[0.0, 0.0, 0.0]",0.007888702675700188
92,1275199488,"[0.107421875, 0.10205078125, 0.2041015625]","[0.0, 0.0, 0.0]",0.010017394088208675
102,1564213248,"[0.12060546875, 0.115234375, 0.23046875]","[0.0, 0.0, 0.0]",0.00843134243041277
112,1882718208,"[0.12939453125, 0.1240234375, 0.248046875]","[0.0, 0.0, 0.0]",0.00849784817546606
122,2230714368,"[0.142578125, 0.13720703125, 0.2744140625]","[0.0, 0.0, 0.0]",0.00870643649250269
132,2608201728,"[0.22705078125, 0.218994140625, 0.43798828125]","[0.0, 0.0, 0.0]",0.009937537834048271
142,3015180288,"[0.246826171875, 0.23876953125, 0.4775390625]","[0.0, 0.0, 0.0]",0.011980650015175343
152,3451650048,"[0.260009765625, 0.251953125, 0.50390625]","[0.0, 0.0, 0.0]",0.009040022268891335
162,3917611008,"[0.27978515625, 0.271728515625, 0.54345703125]","[0.0, 0.0, 0.0]",0.009161848574876785
172,4413063168,"[0.29296875, 0.284912109375, 0.56982421875]","[0.0, 0.0, 0.0]",0.009904536418616772
182,4938006528,"[0.312744140625, 0.3046875, 0.609375]","[0.0, 0.0, 0.0]",0.008485480211675167
192,5492441088,"[0.325927734375, 0.31787109375, 0.6357421875]","[0.0, 0.0, 0.0]",0.01188154798001051
202,6076366848,"[0.4609375, 0.4501953125, 0.900390625]","[0.0, 0.0, 0.0]",0.013247434981167316
212,6689783808,"[0.478515625, 0.4677734375, 0.935546875]","[0.0, 0.0, 0.0]",0.011743111535906792
