Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
452,30259150848,"[2.01, 5.97]","[0.0, 0.0]",58.92402181588113
462,31609847808,"[2.06, 6.13]","[0.0, 0.0]",60.195264213718474
472,32990035968,"[2.1, 6.23]","[0.0, 0.0]",61.4639397803694
482,34399715328,"[2.15, 6.39]","[0.0, 0.0]",62.49950004834682
492,35838885888,"[2.19, 6.5]","[0.0, 0.0]",63.94123457930982
502,37307547648,"[2.24, 4.44]","[0.0, 2.22]",83.88857142627239
512,38805700608,"[2.28, 4.51]","[0.0, 2.25]",85.03304035402834
