Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,"[0.0078125, 0.0244140625, 0.018310546875]","[0.0, 0.0, 0.0]",1.1270716786384583
140,69160,"[0.01171875, 0.05126953125, 0.0341796875]","[0.0, 0.0, 0.0]",1.153651624917984
180,110520,"[0.01171875, 0.06591796875, 0.0439453125]","[0.0, 0.0, 0.0]",1.0968921706080437
220,161480,"[0.015625, 0.107421875, 0.067138671875]","[0.0, 0.0, 0.0]",1.1452017351984978
260,222040,"[0.01953125, 0.15869140625, 0.09521484375]","[0.0, 0.0, 0.0]",1.1258507147431374
300,292200,"[0.01953125, 0.18310546875, 0.10986328125]","[0.0, 0.0, 0.0]",1.0951580479741096
340,371960,"[0.0234375, 0.2490234375, 0.145263671875]","[0.0, 0.0, 0.0]",1.1379197239875793
380,461320,"[0.0234375, 0.2783203125, 0.162353515625]","[0.0, 0.0, 0.0]",1.1862227693200111
420,560280,"[0.02734375, 0.35888671875, 0.205078125]","[0.0, 0.0, 0.0]",1.207602210342884
460,668840,"[0.03125, 0.44921875, 0.252685546875]","[0.0, 0.0, 0.0]",1.2041330337524414
500,787000,"[0.03125, 0.48828125, 0.274658203125]","[0.0, 0.0, 0.0]",1.2158068400621414
540,914760,"[0.03515625, 0.59326171875, 0.32958984375]","[0.0, 0.0, 0.0]",1.2094762417674065
580,1052120,"[0.0390625, 0.7080078125, 0.389404296875]","[0.0, 0.0, 0.0]",1.240292564034462
620,1199080,"[0.0390625, 0.7568359375, 0.416259765625]","[0.0, 0.0, 0.0]",1.263488084077835
660,1355640,"[0.04296875, 0.88623046875, 0.4833984375]","[0.0, 0.0, 0.0]",1.2406576424837112
700,1521800,"[0.04296875, 0.93994140625, 0.5126953125]","[0.0, 0.0, 0.0]",1.2543074399232864
740,1697560,"[0.046875, 1.08, 0.587158203125]","[0.0, 0.0, 0.0]",1.1844690889120102
780,1882920,"[0.05078125, 1.24, 0.66650390625]","[0.0, 0.0, 0.0]",1.195942871272564
820,2077880,"[0.05078125, 1.3, 0.70068359375]","[0.0, 0.0, 0.0]",1.2908987700939178
860,2282440,"[0.0546875, 1.47, 0.787353515625]","[0.0, 0.0, 0.0]",1.2888433411717415
900,2496600,"[0.05859375, 1.65, 0.87890625]","[0.0, 0.0, 0.0]",1.284915953874588
940,2720360,"[0.05859375, 1.72, 0.91796875]","[0.0, 0.0, 0.0]",1.20611384510994
980,2953720,"[0.0625, 1.91, 1.02]","[0.0, 0.0, 0.0]",1.2869741767644882
1020,3196680,"[0.0625, 1.99, 1.06]","[0.0, 0.0, 0.0]",1.3151420280337334
1060,3449240,"[0.06640625, 2.2, 1.16]","[0.0, 0.0, 0.0]",1.2344224378466606
1100,3711400,"[0.0703125, 2.42, 1.28]","[0.0, 0.0, 0.0]",1.2420061975717545
1140,3983160,"[0.0703125, 2.5, 1.32]","[0.0, 0.0, 0.0]",1.232859651744366
1180,4264520,"[0.07421875, 2.74, 1.44]","[0.0, 0.0, 0.0]",1.2065087258815765
1220,4555480,"[0.078125, 2.98, 1.56]","[0.0, 0.0, 0.0]",1.1863373219966888
1260,4856040,"[0.078125, 3.08, 1.61]","[0.0, 0.0, 0.0]",1.2506255879998207
1300,5166200,"[0.08203125, 3.33, 1.75]","[0.0, 0.0, 0.0]",1.236608140170574
1340,5485960,"[0.08203125, 3.44, 1.8]","[0.0, 0.0, 0.0]",1.1972917079925537
1380,5815320,"[0.0859375, 3.71, 1.94]","[0.0, 0.0, 0.0]",1.236960180103779
1420,6154280,"[0.08984375, 3.99, 2.08]","[0.0, 0.0, 0.0]",1.2430930510163307
1460,6502840,"[0.08984375, 4.1, 2.14]","[0.0, 0.0, 0.0]",1.218834780156612
1500,6861000,"[0.09375, 4.39, 2.29]","[0.0, 0.0, 0.0]",1.2231972068548203
1540,7228760,"[0.09765625, 4.7, 2.44]","[0.0, 0.0, 0.0]",1.2230845168232918
1580,7606120,"[0.09765625, 4.82, 2.51]","[0.0, 0.0, 0.0]",1.223942153155804
1620,7993080,"[0.1015625, 5.14, 2.67]","[0.0, 0.0, 0.0]",1.2057114732265472
1660,8389640,"[0.1015625, 5.27, 2.74]","[0.0, 0.0, 0.0]",1.2201862409710884
1700,8795800,"[0.10546875, 5.6, 2.91]","[0.0, 0.0, 0.0]",1.2211864814162254
1740,9211560,"[0.109375, 5.95, 3.08]","[0.0, 0.0, 0.0]",1.24739658087492
1780,9636920,"[0.109375, 6.08, 3.15]","[0.0, 0.0, 0.0]",1.247750483453274
1820,10071880,"[0.11328125, 6.44, 3.33]","[0.0, 0.0, 0.0]",1.288309581577778
1860,10516440,"[0.1171875, 6.81, 3.52]","[0.0, 0.0, 0.0]",1.247980520129204
1900,10970600,"[0.1171875, 6.96, 3.59]","[0.0, 0.0, 0.0]",1.29488006234169
1940,11434360,"[0.12109375, 7.34, 3.79]","[0.0, 0.0, 0.0]",1.242182105779648
1980,11907720,"[0.12109375, 7.49, 3.87]","[0.0, 0.0, 0.0]",1.248490884900093
2020,12390680,"[0.125, 3.95, 4.07]","[0.0, 3.95, 0.0]",17.092362977564335
2060,12883240,"[0.12890625, 4.15, 4.27]","[0.0, 4.15, 0.0]",17.571501433849335
2100,13385400,"[0.12890625, 4.23, 4.36]","[0.0, 4.23, 0.0]",17.795505933463573
2140,13897160,"[0.1328125, 4.44, 4.57]","[0.0, 4.44, 0.0]",18.375971354544163
2180,14418520,"[0.13671875, 4.66, 4.79]","[0.0, 4.66, 0.0]",18.98721791803837
2220,14949480,"[0.13671875, 4.74, 4.88]","[0.0, 4.74, 0.0]",19.177080132067204
2260,15490040,"[0.140625, 4.97, 5.1]","[0.0, 4.97, 0.0]",19.81524843722582
2300,16040200,"[0.140625, 5.05, 5.19]","[0.0, 5.05, 0.0]",20.08581254631281
2340,16599960,"[0.14453125, 5.28, 5.43]","[0.0, 5.28, 0.0]",20.68820409476757
2380,17169320,"[0.1484375, 5.52, 5.67]","[0.0, 5.52, 0.0]",21.30078710615635
2420,17748280,"[0.1484375, 5.61, 5.76]","[0.0, 5.61, 0.0]",21.63906581699848
2460,18336840,"[0.15234375, 5.86, 6.01]","[0.0, 5.86, 0.0]",22.266914136707783
