Num neuronas,# MACs,Inference time
2,13864,0.005441717803478241
22,154704,0.016256235539913177
42,299544,0.02424977719783783
62,448384,0.03482401371002197
82,601224,0.044121406972408295
102,758064,0.05702022463083267
122,918904,0.07198750972747803
142,1083744,0.08432380855083466
162,1252584,0.09538605809211731
182,1425424,0.111347995698452
202,1602264,0.12562982738018036
222,1783104,0.14146137982606888
242,1967944,0.17504487186670303
262,2156784,0.15659164637327194
282,2349624,0.2172337844967842
302,2546464,0.21866895258426666
322,2747304,0.4635686054825783
342,2952144,0.2665771171450615
362,3160984,0.31094346195459366
382,3373824,0.3475276753306389
402,3590664,0.46264659613370895
422,3811504,0.5650809034705162
442,4036344,0.5334271118044853
462,4265184,0.6902869790792465
482,4498024,0.6206659600138664
502,4734864,0.7596984505653381
522,4975704,0.8067525923252106
542,5220544,0.8190227672457695
562,5469384,0.7673120126128197
582,5722224,0.7515717297792435
602,5979064,0.8744467049837112
622,6239904,0.8911462500691414
642,6504744,0.892062671482563
662,6773584,0.9572505950927734
682,7046424,1.0090116411447525
702,7323264,0.9692059829831123
722,7604104,0.9938562288880348
742,7888944,1.0879524052143097
762,8177784,1.1102557182312012
782,8470624,1.1680824682116508
802,8767464,1.2243175879120827
822,9068304,1.2375535443425179
842,9373144,1.3286061584949493
862,9681984,1.5403851866722107
882,9994824,1.5326710417866707
902,10311664,1.5724170953035355
922,10632504,1.5150345861911774
942,10957344,1.6345540061593056
962,11286184,1.6755526885390282
982,11619024,1.6894666478037834
1002,11955864,1.7421301454305649
1022,12296704,1.7650537192821503
1042,12641544,1.6959961503744125
1062,12990384,1.915203407406807
1082,13343224,1.8621739000082016
1102,13700064,1.9230227917432785
1122,14060904,2.1287957206368446
1142,14425744,2.0220987498760223
1162,14794584,2.0607179030776024
1182,15167424,2.280886285007
1202,15544264,2.2891750559210777
1222,15925104,2.185252495110035
1242,16309944,2.283322624862194
1262,16698784,2.320818603038788
1282,17091624,2.498476766049862
1302,17488464,2.5513889268040657
1322,17889304,2.678230404853821
1342,18294144,2.533877268433571
1362,18702984,2.7296096086502075
1382,19115824,2.8182100504636765
1402,19532664,2.7375705540180206
1422,19953504,2.833751030266285
1442,20378344,2.7832677587866783
1462,20807184,2.928091213107109
1482,21240024,3.1619472429156303
1502,21676864,3.024943172931671
1522,22117704,3.0513331294059753
1542,22562544,3.0599255114793777
1562,23011384,3.3489251509308815
1582,23464224,3.3015618100762367
1602,23921064,3.5541076213121414
