Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
660,1355640,"[0.04296875, 0.443115234375, 0.443115234375, 0.4833984375]","[0.0, 0.0, 0.0, 0.0]",1.7159366980195045
700,1521800,"[0.04296875, 0.469970703125, 0.469970703125, 0.5126953125]","[0.0, 0.0, 0.0, 0.0]",1.713963579237461
740,1697560,"[0.046875, 0.5419921875, 0.5419921875, 0.587158203125]","[0.0, 0.0, 0.0, 0.0]",1.7031515017151833
780,1882920,"[0.05078125, 0.618896484375, 0.618896484375, 0.66650390625]","[0.0, 0.0, 0.0, 0.0]",1.721180008351803
820,2077880,"[0.05078125, 0.650634765625, 0.650634765625, 0.70068359375]","[0.0, 0.0, 0.0, 0.0]",1.75008873552084
860,2282440,"[0.0546875, 0.73486328125, 0.73486328125, 0.787353515625]","[0.0, 0.0, 0.0, 0.0]",1.73204947412014
900,2496600,"[0.05859375, 0.823974609375, 0.823974609375, 0.87890625]","[0.0, 0.0, 0.0, 0.0]",1.693190075457096
940,2720360,"[0.05859375, 0.860595703125, 0.860595703125, 0.91796875]","[0.0, 0.0, 0.0, 0.0]",1.775722914934158
980,2953720,"[0.0625, 0.95703125, 0.95703125, 1.02]","[0.0, 0.0, 0.0, 0.0]",1.8604639917612076
1020,3196680,"[0.0625, 0.99609375, 0.99609375, 1.06]","[0.0, 0.0, 0.0, 0.0]",1.76175524353981
1060,3449240,"[0.06640625, 1.1, 1.1, 1.16]","[0.0, 0.0, 0.0, 0.0]",1.795109428167343
1100,3711400,"[0.0703125, 1.21, 1.21, 1.28]","[0.0, 0.0, 0.0, 0.0]",1.774938741326332
1140,3983160,"[0.0703125, 1.25, 1.25, 1.32]","[0.0, 0.0, 0.0, 0.0]",1.756121928095818
1180,4264520,"[0.07421875, 1.37, 1.37, 1.44]","[0.0, 0.0, 0.0, 0.0]",1.73848494887352
1220,4555480,"[0.078125, 1.49, 1.49, 1.56]","[0.0, 0.0, 0.0, 0.0]",1.73989740729332
1260,4856040,"[0.078125, 1.54, 1.54, 1.61]","[0.0, 0.0, 0.0, 0.0]",1.7502037134766579
1300,5166200,"[0.08203125, 1.67, 1.67, 1.75]","[0.0, 0.0, 0.0, 0.0]",1.768820798397064
1340,5485960,"[0.08203125, 1.72, 1.72, 1.8]","[0.0, 0.0, 0.0, 0.0]",1.757254483699799
1380,5815320,"[0.0859375, 1.85, 1.85, 1.94]","[0.0, 0.0, 0.0, 0.0]",1.765653455257416
1420,6154280,"[0.08984375, 1.99, 1.99, 2.08]","[0.0, 0.0, 0.0, 0.0]",1.759755304455757
1460,6502840,"[0.08984375, 2.05, 2.05, 2.14]","[0.0, 0.0, 0.0, 0.0]",1.770609716773033
1500,6861000,"[0.09375, 2.2, 2.2, 2.29]","[0.0, 0.0, 0.0, 0.0]",1.798213576078415
1540,7228760,"[0.09765625, 2.35, 2.35, 2.44]","[0.0, 0.0, 0.0, 0.0]",1.77410046607256
