Num iters,Rwd avg
1,-21.0
51,-21.0
101,-21.0
151,-21.0
201,-21.0
251,-21.0
301,-21.0
351,-21.0
401,-21.0
451,-21.0
501,-21.0
551,-21.0
601,-21.0
651,-21.0
1297,-6.66
1347,-7.42
1397,-7.38
1447,-8.2
1497,-7.44
1547,-7.58
1597,-8.16
1647,-6.28
1697,-7.28
1747,-6.94
1797,-7.04
1847,-7.66
1897,-6.62
1947,-7.46
1997,-7.06
2047,-6.04
2097,-7.22
2147,-6.76
2197,-7.34
2247,-7.22
2297,-6.58
2347,-7.68
2397,-6.82
2447,-6.94
2497,-7.38
2547,-6.72
2597,-5.96
2647,-6.42
2697,-6.98
2747,-6.78
2797,-7.78
2847,-6.58
2897,-5.98
2947,-6.58
2997,-7.68
3047,-6.68
3097,-6.98
3147,-7.58
3197,-7.02
3247,-5.58
3297,-6.48
3347,-7.14
3397,-5.52
3447,-5.68
3497,-5.42
3547,-5.34
3597,-6.76
3647,-7.0
3697,-6.42
3747,-6.02
3797,-6.98
3847,-6.62
3897,-7.62
3947,-6.96
3997,-7.0
4047,-5.9
4097,-6.14
4147,-6.58
4197,-5.46
4247,-5.64
4248,-5.22
4298,-5.72
4348,-6.56
4398,-7.02
4448,-6.38
4498,-6.94
4548,-6.06
4598,-5.74
4648,-6.26
4698,-6.64
4748,-7.34
4798,-5.28
4848,-4.26
4898,-4.16
4948,-5.3
4998,-5.66
5048,-5.75
5098,-4.13
5148,-3.96
5198,-3.08
5248,-4.5600000000000005
5298,-4.9399999999999995
5348,-5.1
5398,-2.7800000000000002
5448,-3.62
5498,-1.8399999999999999
5548,-2.58
5598,-2.96
5648,-2.84
5698,-2.6399999999999997
5748,-2.66
5798,-0.5900000000000001
5848,0.3600000000000001
5898,0.5800000000000001
5948,1.1
5998,-0.21999999999999997
6048,0.6200000000000001
6098,0.8600000000000001
6148,1.56
6198,0.74
6248,1.08
6298,2.58
6348,2.12
6398,2.14
6448,2.98
6498,3.74
6548,3.6399999999999997
6598,2.22
6648,2.14
6698,3.2800000000000002
6748,3.5199999999999996
6798,2.08
6848,2.92
6898,3.9400000000000004
6948,1.98
6998,2.6
7048,3.92
7098,3.16
7148,3.16
7198,3.3
7248,3.46
7249,1.38
7299,3.88
7349,2.26
7399,3.24
7449,4.78
7499,3.1399999999999997
7549,3.5199999999999996
7599,2.98
7649,3.66
7699,2.78
7749,2.42
7799,3.24
7849,3.0199999999999996
7899,1.6400000000000001
7949,3.5199999999999996
7999,3.26
8049,1.7000000000000002
8099,3.54
8149,3.6399999999999997
8199,3.54
8249,3.2
8299,2.78
8349,3.4000000000000004
8399,3.3600000000000003
8449,3.0199999999999996
8499,3.42
8549,3.5599999999999996
8599,1.2799999999999998
8649,1.15
8699,1.12
8749,1.48
8799,1.2799999999999998
8849,2.96
8899,2.87
8949,3.46
8999,2.96
9049,2.52
9099,1.42
9149,2.52
9199,1.94
9249,3.8
9299,2.86
9349,3.3200000000000003
9399,2.34
9449,3.24
9499,2.54
9549,3.67
9599,1.25
9649,2.76
9699,3.6500000000000004
9749,2.78
9799,1.1600000000000001
9849,4.9
9899,4.32
9949,4.13
9999,5.64
10049,5.78
10099,2.94
10149,3.31
10199,4.44
10249,4.81
10250,6.31
10300,6.06
10350,5.4
10400,5.51
10450,4.93
10500,6.61
10550,5.71
10600,5.24
10650,3.22
10700,6.17
10750,3.29
10800,3.16
10850,1.99
10900,4.93
10950,2.34
11000,3.79
11050,5.09
11100,3.38
11150,5.39
11200,2.68
11250,3.43
11300,5.26
11350,4.54
11400,7.85
11450,6.91
11500,4.75
11550,3.29
11600,7.54
11650,6.51
11700,6.33
11750,8.47
11800,7.11
11850,4.26
11900,5.58
11950,4.88
12000,5.24
12050,4.6
12100,7.99
12150,6.84
12200,6.77
12250,6.46
12300,6.32
12350,5.51
12400,4.67
12450,6.4
12500,6.03
12550,5.24
12600,4.06
12650,6.88
12700,4.3
12750,3.92
12800,5.4
12850,5.11
12900,3.31
12950,6.83
13000,8.16
13050,7.09
13100,5.73
13150,8.45
13200,6.71
13250,6.55
13251,6.19
13301,6.15
13351,6.92
13401,7.44
13451,5.26
13501,5.72
13551,5.33
13601,6.86
13651,7.22
13701,3.99
13751,7.67
13801,5.95
13851,3.9
13901,4.26
13951,6.17
14001,4.27
14051,5.26
14101,6.68
14151,6.91
