,Num iters,Mean rel error,Diff actions
202,9999,0.0861492930058855,15.3
203,10049,0.0686056931759812,12.5
204,10099,0.0649492624057689,11.9
205,10149,0.0634539119961904,11.57
206,10199,0.0667460247017676,12.34
207,10249,0.0582787422484252,10.54
208,10250,0.0588224958754959,10.600000000000001
209,10300,0.0614602868615184,9.77
210,10350,0.0625967610492836,9.97
211,10400,0.0608755775218713,8.8
212,10450,0.0616686674964148,8.84
213,10500,0.0616617969521437,8.72
214,10550,0.057683480845741,7.35
215,10600,0.0510365663323085,6.130000000000001
216,10650,0.0578737538705579,7.0600000000000005
217,10700,0.0601216601867461,7.65
218,10750,0.0605952941922703,7.92
219,10800,0.0501508391219889,6.1899999999999995
220,10850,0.0470362224186887,5.32
221,10900,0.0417411595310026,5.92
222,10950,0.0401644982113619,4.83
223,11000,0.0423904548001475,4.41
224,11050,0.036611014735687,4.65
225,11100,0.0435723231106065,5.59
226,11150,0.0430739081657026,5.529999999999999
227,11200,0.041876141776843,5.279999999999999
228,11250,0.0496764606771292,5.4399999999999995
229,11300,0.0476622736213146,5.23
230,11350,0.0501094667858676,6.109999999999999
231,11400,0.0447668342026066,5.33
232,11450,0.0404537217406556,5.09
233,11500,0.0329562340906122,4.5600000000000005
234,11550,0.0436864687496097,5.85
235,11600,0.039461158231087,5.109999999999999
236,11650,0.033245410522737,4.9399999999999995
237,11700,0.0396394163954886,5.279999999999999
238,11750,0.0400002053058124,5.33
239,11800,0.0292149801612598,4.09
240,11850,0.0391982721608714,5.24
241,11900,0.0382002881764434,5.18
242,11950,0.0362153900695382,5.029999999999999
243,12000,0.043028239930293,5.550000000000001
244,12050,0.0422187703865231,5.449999999999999
245,12100,0.0450125335127348,6.119999999999999
246,12150,0.0402639924324816,5.6899999999999995
247,12200,0.0453522722733672,5.9
248,12250,0.0405573528366629,5.779999999999999
249,12300,0.039646827617503,5.140000000000001
250,12350,0.0403148586869705,5.779999999999999
251,12400,0.0485563448318862,6.02
252,12450,0.0500724472492001,6.300000000000001
253,12500,0.0453116601337911,6.859999999999999
254,12550,0.0390986035507405,5.199999999999999
255,12600,0.0481555206603137,6.109999999999999
256,12650,0.046205666274752,6.029999999999999
257,12700,0.0431788934999727,5.949999999999999
258,12750,0.0458734230785572,6.35
259,12800,0.0458784936715266,6.470000000000001
260,12850,0.047819301422697,6.539999999999999
261,12900,0.0422735260203015,5.67
262,12950,0.0469089368687942,5.449999999999999
263,13000,0.0465143988207448,5.9
264,13050,0.0495161704253056,5.93
265,13100,0.0481141992443357,5.16
266,13150,0.0408100409200764,5.48
267,13200,0.0400388733495492,5.859999999999999
268,13250,0.0438332925137714,4.710000000000001
269,13251,0.0479470004908391,4.880000000000001
270,13301,0.0535456801444524,6.630000000000001
271,13351,0.0418921683459426,5.93
272,13401,0.038426383648836,5.5600000000000005
273,13451,0.0420784843431436,5.57
274,13501,0.0371657089438987,5.630000000000001
275,13551,0.0402422971320105,5.510000000000002
276,13601,0.0388645279218093,5.16
277,13651,0.0424168892812565,6.039999999999999
278,13701,0.0483921712951152,5.48
279,13751,0.041923196409631,6.050000000000001
280,13801,0.0507839085053536,6.33
281,13851,0.0479235115287359,5.66
282,13901,0.0500873926693224,6.1
283,13951,0.0437707743243081,6.18
284,14001,0.0485741670034127,5.99
285,14051,0.0394264268009807,5.609999999999999
286,14101,0.0372747888128389,5.109999999999999
287,14151,0.0410159962140256,5.340000000000002
